gen,timer_Vb,sizer_Vb
1,1.00000,1.00000
2,0.80000,20.00000
3,0.64000,20.00000
4,0.51200,20.00000
5,0.40960,20.00000
6,0.32768,20.00000
7,0.26214,20.00000
8,0.20972,20.00000
9,0.16777,20.00000
10,0.13422,20.00000
11,0.10737,20.00000
12,0.08590,20.00000
13,0.06872,20.00000
14,0.05498,20.00000
15,0.04398,20.00000
16,0.03518,20.00000
17,0.02815,20.00000
18,0.02252,20.00000
19,0.01801,20.00000
20,0.01441,20.00000
21,0.01153,20.00000
22,0.00922,20.00000
23,0.00738,20.00000
24,0.00590,20.00000
25,0.00472,20.00000
26,0.00378,20.00000
27,0.00302,20.00000
28,0.00242,20.00000
29,0.00193,20.00000
30,0.00155,20.00000
31,0.00124,20.00000
32,0.00099,20.00000
33,0.00079,20.00000
34,0.00063,20.00000
35,0.00051,20.00000
36,0.00041,20.00000
37,0.00032,20.00000
38,0.00026,20.00000
39,0.00021,20.00000
40,0.00017,20.00000
