gen,Vdaughter,Vmother,G1,cycle,Ddaughter
1,24.84,36.0,19.0,83.0,0.767
2,26.702,37.904,19.0,95.0,1.566
3,28.419,39.583,19.0,107.0,2.393
4,29.999,41.066,19.0,119.0,3.247
5,31.45,42.374,19.0,131.0,4.123
6,32.78,43.529,19.0,143.0,5.02
7,33.999,44.548,19.0,155.0,5.936
8,35.114,45.447,19.0,167.0,6.868
9,36.133,46.24,19.0,179.0,7.814
10,37.064,46.941,19.0,191.0,8.773
11,37.914,47.559,19.0,203.0,9.744
12,38.689,48.104,19.0,215.0,10.724
13,39.397,48.585,19.0,227.0,11.713
14,40.042,49.01,19.0,239.0,12.709
15,40.631,49.385,19.0,251.0,13.712
16,41.168,49.716,19.0,263.0,14.721
17,41.658,50.008,19.0,275.0,15.735
18,42.104,50.265,19.0,287.0,16.753
19,42.512,50.493,19.0,299.0,17.774
20,42.884,50.693,19.0,311.0,18.799
21,43.223,50.87,19.0,323.0,19.826
22,43.533,51.026,19.0,335.0,20.855
23,43.816,51.164,19.0,347.0,21.885
24,44.074,51.286,19.0,359.0,22.917
25,44.31,51.393,19.0,371.0,23.949
26,44.526,51.488,19.0,383.0,24.983
27,44.724,51.572,19.0,395.0,26.016
28,44.905,51.646,19.0,407.0,27.05
29,45.07,51.711,19.0,419.0,28.084
30,45.222,51.768,19.0,431.0,29.118
