maternal_age,daughter_rls_mean,n
0,27.3231,40000
1,26.5497,40000
2,25.7256,40000
3,24.9332,40000
4,23.9616,39997
5,23.0147,39976
6,21.9935,39950
7,21.2702,39874
8,20.2279,39744
9,19.2340,39540
10,18.3390,39235
11,17.3265,38835
12,16.2957,38303
13,15.3860,37602
14,14.4759,36783
15,13.3056,35807
16,12.5667,34727
17,11.5687,33564
18,10.6676,32286
19,9.7976,30890
20,8.9866,29424
21,8.2298,27825
22,7.4109,26217
23,6.7259,24560
24,6.0640,22923
25,5.5071,21352
26,4.8808,19761
27,4.3839,18174
28,3.7659,16663
29,3.3422,15174
30,3.0434,13768
31,2.6390,12521
32,2.2937,11259
33,2.0035,10000
34,1.7980,8902
35,1.4553,7942
36,1.2881,6974
37,1.1196,6110
38,1.0110,5350
39,0.8518,4676
40,0.6696,4080
41,0.5489,3514
42,0.4982,3017
43,0.3562,2580
44,0.3396,2197
45,0.3401,1885
46,0.2329,1619
47,0.1641,1371
48,0.1275,1129
49,0.1499,947
50,0.1047,793
51,0.0687,655
52,0.0545,550
53,0.0587,460
54,0.0547,384
55,0.0298,302
56,0.1250,240
57,0.0000,199
58,0.0063,158
59,0.0000,131
