frac_mid,daughter_rls_mean,chord,dev_below_chord,n
0.0250,24.9796,24.9796,0.0000,67513
0.0750,23.7436,23.9012,-0.1577,47538
0.1250,22.5101,22.8228,-0.3127,49398
0.1750,21.4188,21.7444,-0.3256,45755
0.2250,20.1987,20.6660,-0.4673,47607
0.2750,18.9735,19.5876,-0.6141,51451
0.3250,17.4776,18.5092,-1.0316,49413
0.3750,16.3304,17.4308,-1.1004,45560
0.4250,15.0679,16.3524,-1.2845,51484
0.4750,13.6243,15.2740,-1.6497,39707
0.5250,12.7007,14.1955,-1.4948,57252
0.5750,11.2550,13.1171,-1.8621,45860
0.6250,10.2561,12.0387,-1.7826,51184
0.6750,9.1091,10.9603,-1.8512,47761
0.7250,8.0588,9.8819,-1.8231,45521
0.7750,7.3425,8.8035,-1.4610,49565
0.8250,6.4871,7.7251,-1.2380,51379
0.8750,5.6420,6.6467,-1.0047,47746
0.9250,5.2364,5.5683,-0.3319,49190
0.9750,4.4899,4.4899,0.0000,69888
