frac_lo,frac_mid,frac_hi,daughter_rls_mean,daughter_rls_sd,n
0.0000,0.0250,0.0500,26.9007,9.8395,71427
0.0500,0.0750,0.1000,25.5776,9.9000,52020
0.1000,0.1250,0.1500,24.2996,9.9156,53493
0.1500,0.1750,0.2000,22.7664,9.9464,49805
0.2000,0.2250,0.2500,21.4097,10.0872,51542
0.2500,0.2750,0.3000,20.0968,10.2183,55709
0.3000,0.3250,0.3500,18.4600,10.2318,53625
0.3500,0.3750,0.4000,17.1585,10.3896,49736
0.4000,0.4250,0.4500,15.8261,10.4386,55554
0.4500,0.4750,0.5000,14.1150,10.3766,43785
0.5000,0.5250,0.5500,13.4038,10.3962,61626
0.5500,0.5750,0.6000,11.7289,10.1287,49769
0.6000,0.6250,0.6500,10.8703,10.0506,55521
0.6500,0.6750,0.7000,9.5498,9.7254,51837
0.7000,0.7250,0.7500,8.5678,9.4686,49580
0.7500,0.7750,0.8000,7.8301,9.2429,53674
0.8000,0.8250,0.8500,7.0640,8.9882,55590
0.8500,0.8750,0.9000,6.1606,8.5310,51705
0.9000,0.9250,0.9500,5.7627,8.3925,53808
0.9500,0.9750,1.0000,5.2295,8.0487,73610
