draw,young_rls,old_rls,fold,mother_rls
1,18.1375,5.4152,3.3494,27.1587
2,17.4560,5.2962,3.2960,26.5725
3,18.7686,5.7824,3.2458,28.3633
4,17.3779,5.2658,3.3001,26.2610
5,17.4759,5.2382,3.3363,25.7027
6,18.1887,5.3310,3.4119,27.4070
7,17.7344,4.9757,3.5642,26.3280
8,17.0599,4.9858,3.4217,25.4292
9,17.6801,5.0233,3.5196,26.5862
10,16.6193,5.3822,3.0878,25.2383
11,16.6762,5.4897,3.0377,24.9847
12,17.2353,5.2858,3.2607,26.4500
13,16.8653,5.4964,3.0684,25.3113
14,17.6402,5.3774,3.2804,26.8965
15,16.7953,5.6032,2.9975,25.2015
16,18.0368,5.3112,3.3960,27.2258
17,17.9396,4.9668,3.6119,26.8755
18,17.4864,5.1805,3.3754,26.0592
19,18.2342,5.5863,3.2641,27.4413
20,17.9761,5.0626,3.5508,27.0912
21,17.0382,5.2834,3.2248,25.6873
22,17.6831,5.4103,3.2684,26.6378
23,17.5807,5.4293,3.2381,26.8727
24,16.4715,5.0716,3.2478,24.6728
25,17.8699,5.3395,3.3467,26.6618
26,17.5824,5.3169,3.3069,26.1330
27,18.1762,5.8342,3.1155,27.4662
28,17.4329,5.1320,3.3969,26.1203
29,17.3989,4.8435,3.5922,26.2280
30,17.4018,5.1684,3.3670,26.5398
31,17.2599,5.1256,3.3674,25.7585
32,18.7127,5.5506,3.3713,28.2322
33,17.3657,5.5045,3.1548,26.0772
34,17.1239,5.3431,3.2049,25.7593
35,16.8406,5.3526,3.1463,26.0033
36,17.1298,5.2988,3.2328,25.4485
37,17.6708,5.3024,3.3326,26.6448
38,18.2726,5.3069,3.4432,27.1698
39,17.5343,5.5772,3.1439,26.4865
40,17.0602,5.7025,2.9917,26.1518
41,17.7245,5.2903,3.3503,26.4907
42,17.2651,5.0377,3.4272,25.5822
43,18.3330,5.5012,3.3325,27.5197
44,17.5509,5.2843,3.3213,26.3368
45,18.7019,5.4751,3.4158,27.5770
46,17.4661,4.8083,3.6325,25.8898
47,17.9101,5.1602,3.4708,26.7235
48,17.0839,5.0908,3.3558,25.6287
49,17.3840,5.2367,3.3197,26.1808
50,17.2351,5.3677,3.2109,26.1600
51,18.2757,5.3321,3.4275,27.6350
52,18.5837,5.4751,3.3942,27.6403
53,17.1345,5.1984,3.2961,25.5272
54,17.1385,4.9192,3.4840,25.5337
55,17.6549,5.1072,3.4569,26.3652
56,17.8899,5.7943,3.0875,27.3133
57,16.3422,5.4903,2.9766,24.3568
58,17.2614,5.1763,3.3347,25.4997
59,18.4889,5.5270,3.3452,27.3708
60,18.3545,5.4740,3.3531,27.6057
61,17.8831,5.3884,3.3188,26.8038
62,17.7209,5.2932,3.3479,26.5550
63,18.4769,5.9656,3.0972,27.5607
64,18.4463,5.8513,3.1525,27.7610
65,17.3133,5.9822,2.8942,26.0355
66,17.8738,5.3390,3.3478,26.6522
67,17.9834,5.4765,3.2837,26.4660
68,17.9501,5.4297,3.3059,26.5372
69,17.4337,4.7914,3.6386,25.4775
70,17.8999,4.9280,3.6323,26.6255
71,17.5228,5.5442,3.1606,26.6832
72,17.5176,5.5970,3.1298,26.5202
73,17.4405,5.4243,3.2152,26.2502
74,16.6200,5.5210,3.0103,25.0558
75,17.4514,5.4978,3.1742,25.9798
76,17.9317,5.7760,3.1045,27.0415
77,17.5986,5.3312,3.3011,26.2075
78,17.3913,5.2351,3.3221,26.5307
79,17.4741,5.5275,3.1613,26.6898
80,18.2700,5.7036,3.2032,27.5262
81,17.9644,5.6047,3.2053,27.1612
82,16.8336,5.1740,3.2535,25.3968
83,17.8914,5.0134,3.5687,26.3785
84,17.4616,5.6415,3.0952,25.7935
85,17.5557,5.7911,3.0315,26.4002
86,18.4127,5.4284,3.3919,27.4800
87,17.5842,5.4409,3.2318,26.7582
88,17.8027,5.6187,3.1684,27.0455
89,17.0759,5.0403,3.3879,25.8183
90,17.0676,5.5415,3.0799,25.7913
91,17.8374,5.3826,3.3139,26.7762
92,17.2341,5.5905,3.0827,25.6557
93,18.3457,5.2186,3.5154,27.7585
94,18.5141,5.0316,3.6796,27.4000
95,18.8563,5.3890,3.4990,28.5473
96,17.6128,5.4325,3.2421,26.8713
97,18.7025,5.5323,3.3806,28.4222
98,17.3418,5.6313,3.0796,25.8710
99,16.6931,5.0387,3.3130,24.8890
100,18.2648,5.0852,3.5917,27.1943
101,17.1418,5.3733,3.1901,25.8442
102,17.4692,4.8268,3.6192,26.0880
103,18.5226,5.5199,3.3556,27.9485
104,17.4976,5.1551,3.3942,26.3475
105,17.8937,5.5380,3.2311,27.2243
106,19.1443,5.1314,3.7308,28.1745
107,17.4999,5.2320,3.3448,26.0912
108,17.6783,5.3926,3.2783,26.4130
109,17.1703,5.0364,3.4092,25.4415
110,17.8494,4.9927,3.5751,26.1847
111,18.4064,5.0663,3.6331,27.3262
112,17.6171,5.1918,3.3933,25.9230
113,17.3203,5.2681,3.2878,25.4772
114,16.7489,5.2890,3.1667,25.0433
115,16.9120,5.1631,3.2755,25.2150
116,16.9308,5.3056,3.1911,25.0300
117,17.6861,5.4562,3.2415,26.6335
118,17.3312,5.4764,3.1647,25.7093
119,17.2487,5.3814,3.2052,26.0883
120,17.3273,5.5894,3.1000,25.8515
121,18.0730,5.3568,3.3739,27.0933
122,17.9556,5.1689,3.4738,26.7042
123,17.2471,4.9924,3.4547,25.6575
124,17.8963,5.3243,3.3612,26.6850
125,17.1411,5.1420,3.3335,25.6115
126,16.8162,5.7381,2.9306,25.0693
127,17.8809,5.7143,3.1292,26.6515
128,17.7985,5.6357,3.1582,26.7728
129,17.9340,5.4121,3.3137,26.5843
130,17.8397,5.4940,3.2471,26.6193
131,17.5227,5.4261,3.2293,26.1778
132,18.0178,5.5411,3.2516,26.8945
133,16.4162,5.1794,3.1695,24.5147
134,17.3087,5.6029,3.0892,25.9458
135,17.3646,5.9903,2.8988,25.8415
136,17.6873,5.3551,3.3029,26.2602
137,17.9087,5.4517,3.2850,26.9777
138,18.7956,5.3359,3.5225,28.2707
139,18.0750,5.0483,3.5804,27.0070
140,17.0934,5.1250,3.3353,25.5443
141,17.0206,5.5405,3.0720,26.0992
142,16.6700,5.7535,2.8974,25.0735
143,17.7917,5.3185,3.3453,26.4555
144,17.6574,5.8881,2.9988,26.6637
145,17.1519,5.6725,3.0237,26.1470
146,17.5818,4.8537,3.6223,26.4695
147,16.9637,5.5236,3.0711,25.5655
148,17.1920,5.3745,3.1988,26.2077
149,17.6704,5.2879,3.3417,26.3860
150,16.8226,5.1231,3.2837,25.6988
151,16.9748,5.1249,3.3122,25.4787
152,16.8923,4.9930,3.3832,25.6325
153,18.3115,5.3955,3.3938,27.5618
154,16.8129,5.5211,3.0452,25.6880
155,17.2460,5.5189,3.1249,26.3357
156,17.8669,5.3067,3.3669,27.0998
157,17.7260,5.1126,3.4671,26.3640
158,16.8231,4.8266,3.4855,25.3772
159,16.7372,5.6279,2.9740,25.5400
160,16.4317,5.2783,3.1131,24.6662
161,17.0795,5.2123,3.2768,25.9537
162,17.8880,5.5359,3.2313,27.0135
163,18.6229,5.1611,3.6084,27.8930
164,16.7470,5.3811,3.1122,24.9385
165,17.1351,5.2558,3.2603,25.4113
166,16.6860,5.2071,3.2044,25.1200
167,16.8575,5.3314,3.1619,25.1663
168,18.5625,5.4438,3.4099,28.1545
169,18.5155,5.2068,3.5560,27.5078
170,17.7759,5.0293,3.5345,26.6122
171,17.0755,5.1706,3.3024,25.7913
172,17.2639,4.9830,3.4645,25.9457
173,17.3655,4.9774,3.4889,26.0002
174,17.3405,5.2990,3.2724,26.0882
175,17.0315,5.0721,3.3579,25.2067
176,17.7046,5.2207,3.3912,26.6545
177,17.3983,5.2415,3.3193,25.9338
178,17.1729,4.8280,3.5569,25.5088
179,18.3648,5.4923,3.3437,27.6830
180,16.9108,4.9637,3.4069,25.3092
181,18.8406,5.4637,3.4483,28.5598
182,17.6358,5.6870,3.1011,26.1778
183,17.1981,5.4632,3.1480,25.9547
184,17.1984,5.6106,3.0654,25.8342
185,16.9442,5.1218,3.3083,25.4925
186,17.6122,5.3649,3.2829,26.7805
187,18.3521,5.1396,3.5707,27.1372
188,18.0330,5.3070,3.3980,27.0530
189,17.9931,5.0719,3.5476,26.7955
190,17.7964,5.0019,3.5579,26.7070
191,17.2533,5.5155,3.1282,25.7008
192,17.8775,5.5404,3.2268,26.6428
193,17.4333,5.1511,3.3844,25.9185
194,18.2479,5.0855,3.5883,27.3060
195,18.3171,5.1577,3.5514,27.2225
196,18.0639,5.3683,3.3649,27.4328
197,18.0083,5.5882,3.2225,26.4982
198,17.7537,4.9272,3.6032,26.1705
199,17.4964,5.2176,3.3534,26.1748
200,17.6522,5.2521,3.3610,26.4848
201,18.1956,5.3309,3.4133,27.5715
202,18.5822,5.2266,3.5553,27.7413
203,17.4410,5.2432,3.3264,25.9098
204,18.2569,5.4460,3.3524,27.4942
205,17.7196,5.4131,3.2735,26.9065
206,18.6024,5.1689,3.5989,27.6897
207,17.8693,5.0521,3.5370,26.8210
208,17.6378,5.5026,3.2054,26.3703
209,17.9696,4.7391,3.7918,26.8968
210,18.1125,5.8861,3.0772,27.3130
211,17.7985,5.5728,3.1938,27.0193
212,16.7604,5.2327,3.2030,25.1162
213,18.1191,5.2487,3.4521,27.2287
214,17.6259,5.0108,3.5176,26.4688
215,17.4680,5.3032,3.2938,26.8740
216,17.6484,5.1379,3.4349,26.8498
217,18.5119,5.5539,3.3331,27.5450
218,18.5656,5.0351,3.6873,27.6017
219,17.5212,5.4017,3.2436,26.6160
220,17.0632,5.2730,3.2360,25.5250
221,18.2582,5.4068,3.3769,27.0522
222,17.7000,5.4960,3.2205,26.7132
223,18.3511,5.4829,3.3470,27.5708
224,17.8199,5.2015,3.4259,26.9940
225,18.6650,5.5728,3.3493,28.0152
226,17.9665,5.7382,3.1310,27.7128
227,18.0207,5.6360,3.1974,27.5952
228,17.2009,5.3198,3.2334,25.7233
