Vmother_div,Vdaughter,Ddaughter
93.3178,45.7113,12.2031
96.9781,47.0562,11.5133
94.6942,46.2574,11.4164
88.1535,40.0648,4.7936
94.2648,46.62,15.5153
83.2749,37.3429,4.8611
77.1062,34.0472,4.4865
78.9822,28.4191,0.7924
72.159,28.2015,1.5232
79.2229,36.0059,4.9429
98.0471,47.5749,9.3963
84.0137,37.0973,4.0242
90.4867,44.3245,11.03
104.6491,48.6154,6.3308
90.9596,42.9689,9.8084
74.7382,32.4201,4.5989
92.6836,44.084,8.6625
63.3213,21.6021,0.8195
103.1724,50.7702,13.5803
91.2785,44.4491,10.4882
73.3604,29.6121,2.5042
101.0503,49.6196,12.9745
95.0512,46.2862,11.0299
102.0735,50.0002,13.535
71.2909,28.7768,1.9017
101.9234,50.4728,14.3331
106.2306,52.6057,15.1761
88.8864,37.7736,3.0898
73.1679,28.5958,2.2528
90.3321,43.4523,8.9984
86.8108,40.69,7.15
107.5134,53.241,14.0531
103.4263,50.8952,11.9066
64.0086,23.0313,1.1037
80.5843,32.5281,2.0727
100.8057,49.6056,12.9666
95.5457,47.106,11.7577
94.7728,46.2958,9.68
88.3764,42.5115,9.228
90.6619,42.4951,8.0078
94.964,44.1161,6.0134
87.669,41.4145,6.8009
83.2522,36.7611,4.6337
60.5086,21.772,1.1573
94.6704,43.9797,6.9474
93.5338,41.301,4.7987
57.2502,18.3201,0.2625
87.8681,42.0451,8.4208
71.7566,29.7771,2.0919
71.008,26.7195,1.8683
88.3771,42.2886,8.4012
96.8065,46.3221,8.6906
101.9617,50.4918,15.3062
82.8801,34.3931,2.6868
90.5248,42.4309,6.8761
85.4387,33.3915,1.8747
94.0258,46.5018,14.8417
67.3007,25.3244,1.5294
102.211,50.476,15.1819
101.9889,50.2826,13.6105
89.7903,40.8087,6.1654
95.7019,44.8575,6.5428
85.6897,37.1706,4.0056
98.331,48.6938,15.0985
61.0996,20.8442,0.6783
90.671,41.6938,5.3767
63.8376,22.9698,0.8526
100.8305,49.255,12.7437
75.5916,33.8975,5.2309
89.3001,42.7303,8.228
101.5202,50.2083,13.9849
89.5915,43.6275,11.5762
87.4977,40.6476,6.4414
81.1833,30.5483,2.1753
89.1856,43.5665,10.862
110.4793,54.6391,15.554
90.1626,44.3682,11.9833
74.0588,26.6475,0.6588
81.5546,34.6579,2.8249
95.0126,45.1918,7.3905
99.9339,49.3514,12.8795
98.2799,48.3627,13.2528
95.4846,46.3315,10.5747
83.2462,36.7584,3.9884
81.7704,36.1067,4.1115
81.4716,34.6226,3.0695
83.2736,36.7705,5.5111
94.1067,46.3965,11.9731
97.6267,47.9384,11.3923
68.6921,25.848,1.8852
90.4144,40.5445,5.0522
82.8913,37.1709,4.576
90.8078,39.3908,4.2597
96.7816,46.9608,10.5033
87.3031,40.1452,6.2747
97.8351,48.3858,14.4644
95.9043,45.8904,8.9602
103.4761,50.3888,10.846
95.5254,46.7926,11.8346
106.9042,52.2219,9.5826
86.2005,39.6381,6.1838
91.6532,41.0999,4.6115
78.1649,31.5515,3.0372
90.4287,43.7003,9.158
104.7337,50.3799,8.5573
94.1135,45.9738,10.6341
76.2152,30.7645,2.417
97.2451,46.7776,8.631
91.8569,43.0552,7.2139
103.1677,50.9484,14.7288
92.6562,44.3362,8.5512
90.1948,43.1584,8.1085
98.8921,47.7903,10.0449
61.7931,23.252,1.8212
105.8999,52.3743,13.8927
92.2817,45.2038,10.4049
64.5067,22.0065,0.8875
91.0374,44.5942,13.2722
97.8173,47.7831,10.8905
103.1075,49.8275,9.478
66.3522,21.2327,0.3124
79.3553,33.7232,2.9099
92.8946,44.6849,8.8581
89.5134,41.1615,4.6567
72.0876,27.1257,1.5406
80.6114,33.4517,3.1479
103.4368,51.2222,14.5433
82.8091,35.191,3.4924
99.1971,48.814,11.7342
74.4418,29.0937,2.118
81.581,37.0777,5.8825
101.5921,49.4714,10.6986
87.4754,42.5971,11.5467
66.8098,22.7922,0.8002
62.1815,22.3739,1.0015
83.3811,35.434,3.2919
95.0312,43.6988,6.1644
93.1235,44.5598,8.8701
93.4002,45.3201,9.6576
83.6437,35.5456,2.9409
95.0512,46.5604,12.6266
59.9922,20.4664,0.4793
86.9612,39.9879,5.5709
65.0356,22.1869,0.7034
86.7295,40.9707,7.461
108.0163,53.421,13.523
73.9089,28.8854,1.5296
93.4151,46.1322,14.1462
103.4856,51.1803,14.9419
89.3985,43.0032,9.2682
92.5213,41.4892,5.7346
94.6381,46.2301,10.3744
88.8684,42.9463,9.9566
118.3508,58.6077,14.7649
85.9313,37.2754,4.4591
101.213,49.806,12.201
60.8619,21.8991,0.659
90.9771,43.7625,9.2774
96.7321,47.8403,15.1179
110.9875,54.3667,11.0075
92.1521,41.3237,4.5011
85.5477,34.5316,2.8321
100.4879,49.7619,15.7758
67.5872,24.319,0.9897
79.5527,32.1117,2.1329
95.1316,44.9398,7.4806
99.8954,49.1577,11.8608
81.8556,35.5075,4.5619
93.8677,45.8537,13.133
99.8915,49.1557,11.4114
100.9549,49.7728,14.6079
98.3211,47.5144,11.0833
95.2988,46.4068,11.2765
69.764,25.1022,1.0576
89.861,43.2257,8.822
66.6944,23.9977,1.6367
95.1439,46.6058,13.0414
64.7775,23.308,0.7238
81.5924,33.8587,2.854
108.3572,51.1875,5.7718
65.854,22.4661,0.5196
95.0803,46.5746,12.4522
106.6542,52.244,12.0406
95.4819,46.8853,11.9091
89.6956,42.0422,7.3845
102.7819,50.8979,15.0329
71.7956,24.4931,0.8111
86.54,40.8811,6.9762
96.581,46.6735,10.4791
99.1648,48.4413,9.7624
97.6532,47.9515,12.1931
95.9403,45.9077,7.7042
94.9505,46.7243,12.1885
61.6785,19.7371,0.2702
71.0901,25.5793,1.2485
100.3655,49.0278,12.0146
96.3444,47.3088,12.6657
50.3452,16.1105,0.4523
97.9696,47.5373,9.2446
93.7725,45.6635,11.624
74.7441,30.1707,2.5829
98.9113,48.9812,13.7286
62.4636,19.9883,0.3886
80.2163,35.9713,5.1113
75.688,30.5517,1.8238
105.0617,51.3219,12.2773
87.3852,41.2804,8.6824
90.9534,41.3373,5.6886
102.3227,49.6495,8.7915
94.3749,42.3204,5.4087
91.0212,42.6635,6.3303
71.0214,26.7245,1.0974
95.5638,46.8115,12.2821
87.2187,36.1935,3.0384
78.8969,34.8379,4.9108
84.7392,36.0112,3.9959
101.5196,48.2867,7.9628
96.6579,46.251,8.8661
102.9899,50.9351,15.4506
91.3136,43.9244,9.1899
84.018,38.6345,5.2007
98.8122,48.9321,14.9359
84.2629,39.4958,7.7231
99.7108,47.7118,7.8343
76.8857,31.9056,2.8377
100.0952,48.8958,11.1938
100.4258,48.9035,11.3682
99.4088,48.9182,12.7984
92.519,45.4304,12.9404
60.917,19.4934,0.3194
90.2054,41.4798,6.1157
95.0779,45.7351,8.6703
73.8374,26.5679,1.3962
99.0715,48.6479,9.3755
101.7454,50.246,12.5394
90.1586,42.883,8.0197
62.7236,21.3982,0.5372
100.2192,48.6288,9.349
80.6606,35.6167,4.52
64.0123,23.0326,1.2336
103.6867,50.9141,11.9389
95.9454,44.9716,7.5073
72.4444,27.2599,1.5499
98.6031,48.1669,9.7862
88.3156,42.8529,9.5705
93.3504,45.8386,12.8871
91.7819,44.9589,10.9367
93.2399,45.0589,8.9743
56.7381,18.1562,0.4078
98.9756,49.013,13.936
97.3263,42.9756,4.4941
91.3343,42.8103,8.1447
96.6289,47.0545,10.5526
71.8876,27.0504,1.6661
79.2153,27.0244,0.4064
91.9938,43.1194,6.874
97.2818,45.1928,6.5032
97.1055,46.7105,8.5733
81.7085,34.7232,3.7324
94.5554,44.9743,8.73
79.5497,35.6724,5.3555
88.9204,38.5721,4.1393
94.8507,46.5753,12.4154
97.443,47.09,9.274
72.6036,30.854,3.8905
87.9013,42.061,7.6012
96.1477,47.5512,15.4126
104.1701,51.4435,12.6106
101.415,49.9997,13.8478
94.7594,46.5305,12.6097
86.2032,32.4372,1.62
93.7832,44.607,8.7321
92.7394,44.376,9.0628
83.9988,37.0907,4.042
68.034,24.4797,1.3072
100.0501,48.7205,11.5383
85.8397,38.493,5.0547
92.2583,45.1923,11.5733
100.9185,49.6611,11.7851
95.2536,46.3848,10.6359
97.2835,47.3733,10.1695
101.3519,49.8744,12.4329
99.4613,48.8393,13.3257
85.3471,38.2721,4.8202
96.771,47.6202,12.0874
76.2627,30.7837,2.744
103.6831,51.278,14.9521
86.5119,37.5273,3.4189
80.1626,33.2654,2.9728
97.4969,46.0572,8.1428
91.7,39.7778,4.5809
74.2133,29.0044,2.2794
91.5061,43.7859,9.0056
70.5223,27.5618,1.3775
94.0415,44.999,8.8666
91.4339,43.9823,9.9129
97.7115,47.9801,12.2699
106.6714,52.5912,12.6876
89.1534,43.4142,11.9119
70.3368,28.3917,2.4155
94.2772,45.7456,8.6937
103.4701,51.0129,13.8199
91.1922,43.6356,7.9309
48.5393,15.5326,0.4124
79.8007,33.1152,3.5652
94.5049,44.9503,9.1693
62.4462,22.4691,0.8699
95.9502,47.0008,11.9334
61.928,19.817,0.286
86.6681,37.595,4.0007
97.2198,47.3422,11.4208
92.7673,44.8305,9.171
84.7124,35.9998,3.8637
83.0483,35.2926,3.1935
64.4986,20.6395,0.4912
98.3836,48.5858,13.5953
72.5651,29.2911,3.0731
95.015,45.9167,8.8848
97.6359,47.3754,9.418
70.508,24.0538,0.4097
89.604,43.1021,9.9509
87.2077,37.8291,3.3362
91.764,44.1411,9.4879
88.8063,39.2135,3.9524
97.6703,47.5616,9.8682
94.3716,46.6729,15.0318
68.6875,25.8463,1.7563
74.8552,30.2155,2.3801
71.4974,31.0143,4.1444
87.169,42.2965,9.602
66.6846,26.062,1.6412
76.0464,32.9876,3.7679
58.5552,18.7377,0.3392
85.0956,41.5686,10.2673
94.2721,45.9068,10.6708
64.4352,21.9821,0.7638
87.3536,42.0195,8.6578
102.4102,49.4905,9.9476
100.0554,49.5478,14.1379
100.4203,49.6643,14.3669
94.7709,46.4231,11.5643
87.4612,40.6306,6.3858
88.6801,37.6859,3.1489
86.0518,38.5881,5.0826
87.4177,42.569,10.2988
97.266,48.1664,14.4492
75.8806,30.6294,2.2061
96.5568,47.6045,13.9892
96.4162,47.684,14.2565
99.1426,48.8793,12.206
103.9168,51.2331,12.8733
81.9373,34.8205,3.5139
89.0006,43.4762,9.2995
96.2918,47.1681,12.5991
88.9156,39.8723,5.0802
90.8975,43.9269,10.324
102.8021,50.0606,9.5094
63.0242,20.1677,0.1488
91.4183,42.8496,6.8456
82.4506,29.667,1.3362
52.9981,16.9594,0.4639
101.3521,50.1899,15.5952
97.4095,47.7156,12.479
83.4286,36.8389,4.7123
90.2714,42.3121,7.1181
89.8712,40.8455,3.9227
57.5353,19.6282,0.615
98.1646,48.306,12.2805
101.4808,50.1154,14.3628
96.3876,47.33,11.9767
76.0872,24.3479,0.2865
94.5756,46.1995,10.4846
91.4644,43.2074,7.0963
76.3856,30.8333,2.8436
57.584,18.4269,0.416
97.6199,47.5371,12.2231
86.3763,41.084,8.7052
93.4584,42.4758,5.6403
99.3864,48.9995,13.757
101.311,50.1048,13.7372
72.6185,27.3255,1.3316
74.2061,29.0016,2.6082
71.5909,27.9795,2.0446
90.1386,44.154,12.2079
88.6115,39.736,5.5276
63.9317,20.4581,0.4494
96.5137,46.182,8.3328
57.7968,18.495,0.389
101.3488,49.8729,12.6232
81.2937,33.7348,3.0099
95.5217,44.773,6.936
102.5237,50.7701,15.275
59.7329,19.1145,0.527
78.9593,32.7661,2.2837
80.765,36.2174,5.9934
93.4399,44.9472,9.6242
98.155,48.0808,11.9057
90.6905,44.7867,12.3863
98.6396,48.0336,10.8391
99.4965,46.636,6.8998
102.8544,50.9338,14.216
96.7118,47.892,12.9805
78.6485,33.4228,3.0761
63.9344,21.8113,0.6086
101.0334,49.0239,9.7159
90.8511,42.5838,6.6999
97.3592,47.4101,10.2962
102.7325,50.6492,14.0986
91.0258,44.8776,12.9719
85.1626,40.7505,9.4693
104.1246,49.5258,8.5118
104.1246,50.7046,11.2622
91.5333,43.24,6.5497
97.1265,48.0353,15.0351
94.2206,45.7181,9.1143
74.0922,27.88,1.4596
86.1989,38.6541,4.6976
94.8217,46.8955,15.4343
109.3168,54.134,13.3358
101.5917,50.3085,15.9481
103.4822,50.9227,12.8118
70.135,26.391,2.1278
92.6633,38.4529,3.0798
91.8981,44.2055,8.9869
87.543,39.7873,5.0326
92.7119,44.0975,7.7963
85.5625,40.6969,8.1962
89.7417,38.9283,4.3497
68.4888,21.9164,0.3826
108.677,53.8172,14.5341
98.0263,48.4094,13.1593
101.0606,50.0455,15.4858
98.7044,48.0652,11.2379
87.6482,42.1612,9.2885
102.1703,49.1468,8.5527
52.5968,16.831,0.503
60.7596,19.4431,0.1043
66.9376,22.8358,0.4577
83.0935,38.6016,7.1934
78.64,34.1126,3.9022
90.171,43.5758,8.8917
73.4169,31.8469,3.187
97.0238,47.9845,13.8487
72.4828,26.0805,0.7663
80.0782,31.2965,1.7633
97.6206,43.1056,3.285
95.51,46.6559,11.8977
105.8071,51.9553,12.594
89.9653,41.7939,5.7027
99.3566,49.1382,15.3422
92.1441,45.0117,12.4093
74.6409,30.974,2.955
103.6619,49.6024,7.4136
87.8233,41.7723,9.1193
94.9107,46.3632,12.2471
90.5856,42.7923,6.9577
97.2526,48.0273,13.6525
88.029,41.8701,7.5946
98.1941,48.626,15.4925
95.5547,45.7231,8.6298
99.4613,48.7206,12.2519
92.1815,43.2074,5.7137
93.1656,45.368,10.2812
73.3156,30.4241,2.9873
67.1439,22.9062,0.7705
90.2128,42.9088,9.2453
96.4614,45.8809,8.7197
99.9387,44.1292,5.0845
92.4566,42.9513,6.2883
94.6113,45.5107,9.331
102.1584,50.5891,14.5853
83.2557,39.3296,8.8792
99.0144,48.6199,13.8814
86.754,40.3021,7.0216
98.3929,48.0643,11.6581
91.0601,43.3118,8.162
97.7733,48.4176,14.51
82.4126,33.2661,2.7183
88.5662,42.6028,9.0241
85.1907,39.5759,5.667
92.7542,45.5459,12.0805
96.1082,43.6801,5.2246
77.6051,32.9795,3.1541
61.651,19.7283,0.435
97.16,46.2131,8.304
105.4233,51.6411,10.696
70.2654,27.4614,1.7288
89.2292,39.4003,4.2906
79.9095,32.2557,2.0164
94.77,46.4226,11.6276
97.0214,47.2456,10.4472
97.5071,47.6315,11.1779
95.3031,46.8978,13.7713
91.1656,41.4337,5.3713
90.1914,42.2746,6.1496
91.8256,43.6759,8.6482
93.0946,45.8976,12.8939
100.7087,49.4518,13.2285
95.4764,46.9831,13.8139
97.2466,47.9446,13.9241
94.8247,46.7505,15.2493
92.3754,42.4776,5.4772
101.6167,49.107,9.7194
103.7413,51.1466,11.9636
107.4318,52.9661,13.3508
94.7868,46.1575,11.0586
70.4584,25.3521,0.8692
95.6814,47.3206,15.7352
90.491,41.1271,5.0112
78.9576,31.8715,1.6601
90.0741,39.0725,3.84
82.3304,37.8585,5.7898
82.8394,36.5788,3.9555
106.1273,52.5546,13.8409
