Vstar,size_over_Vstar,count
60.0,0.32296,131053
60.0,0.32887,0
60.0,0.33478,0
60.0,0.34069,0
60.0,0.3466,0
60.0,0.35251,0
60.0,0.35842,65528
60.0,0.36433,0
60.0,0.37025,0
60.0,0.37616,0
60.0,0.38207,0
60.0,0.38798,0
60.0,0.39389,32764
60.0,0.3998,0
60.0,0.40571,0
60.0,0.41162,0
60.0,0.41754,0
60.0,0.42345,0
60.0,0.42936,16382
60.0,0.43527,0
60.0,0.44118,0
60.0,0.44709,0
60.0,0.453,0
60.0,0.45891,8191
60.0,0.46483,0
60.0,0.47074,0
60.0,0.47665,0
60.0,0.48256,0
60.0,0.48847,4096
60.0,0.49438,0
60.0,0.50029,0
60.0,0.5062,0
60.0,0.51212,2048
60.0,0.51803,0
60.0,0.52394,0
60.0,0.52985,0
60.0,0.53576,1023
60.0,0.54167,0
60.0,0.54758,0
60.0,0.55349,0
60.0,0.55941,511
60.0,0.56532,0
60.0,0.57123,0
60.0,0.57714,255
60.0,0.58305,0
60.0,0.58896,0
60.0,0.59487,128
60.0,0.60079,0
60.0,0.6067,62
60.0,0.61261,0
60.0,0.61852,32
60.0,0.62443,0
60.0,0.63034,16
60.0,0.63625,0
60.0,0.64216,7
60.0,0.64808,0
60.0,0.65399,4
60.0,0.6599,1
60.0,0.66581,1
60.0,0.67172,1
