alpha,f,slope,logratio
0.000,0.300,0.0651,-0.5335
0.050,0.300,0.1199,-0.5269
0.100,0.300,0.1747,-0.5203
0.150,0.300,0.2296,-0.5135
0.200,0.300,0.2846,-0.5066
0.250,0.300,0.3395,-0.4996
0.300,0.300,0.3946,-0.4925
0.350,0.300,0.4497,-0.4852
0.400,0.300,0.5048,-0.4778
0.450,0.300,0.5600,-0.4703
0.500,0.300,0.6152,-0.4627
0.550,0.300,0.6704,-0.4549
0.600,0.300,0.7256,-0.4470
0.650,0.300,0.7809,-0.4390
0.700,0.300,0.8361,-0.4308
0.750,0.300,0.8914,-0.4224
0.800,0.300,0.9466,-0.4139
0.850,0.300,1.0017,-0.4052
0.900,0.300,1.0568,-0.3963
0.950,0.300,1.1118,-0.3873
1.000,0.300,1.1666,-0.3781
1.050,0.300,1.2213,-0.3686
1.100,0.300,1.2758,-0.3590
1.150,0.300,1.3300,-0.3492
1.200,0.300,1.3839,-0.3391
1.250,0.300,1.4374,-0.3288
1.300,0.300,1.4905,-0.3183
1.350,0.300,1.5430,-0.3075
1.400,0.300,1.5949,-0.2964
1.450,0.300,1.6461,-0.2851
1.500,0.300,1.6964,-0.2735
1.550,0.300,1.7457,-0.2616
1.600,0.300,1.7938,-0.2493
1.650,0.300,1.8407,-0.2367
1.700,0.300,1.8860,-0.2237
1.750,0.300,1.9297,-0.2104
1.800,0.300,1.9715,-0.1966
1.850,0.300,2.0112,-0.1824
1.900,0.300,2.0487,-0.1678
1.950,0.300,2.0838,-0.1526
2.000,0.300,2.1164,-0.1369
2.050,0.300,2.1468,-0.1206
2.100,0.300,2.1749,-0.1037
2.150,0.300,2.2012,-0.0861
2.200,0.300,2.2262,-0.0678
0.000,0.310,0.0658,-0.5193
0.050,0.310,0.1207,-0.5125
0.100,0.310,0.1756,-0.5056
0.150,0.310,0.2306,-0.4986
0.200,0.310,0.2856,-0.4914
0.250,0.310,0.3407,-0.4842
0.300,0.310,0.3958,-0.4768
0.350,0.310,0.4510,-0.4693
0.400,0.310,0.5062,-0.4616
0.450,0.310,0.5614,-0.4538
0.500,0.310,0.6167,-0.4459
0.550,0.310,0.6720,-0.4378
0.600,0.310,0.7273,-0.4296
0.650,0.310,0.7826,-0.4212
0.700,0.310,0.8378,-0.4127
0.750,0.310,0.8931,-0.4039
0.800,0.310,0.9482,-0.3950
0.850,0.310,1.0033,-0.3860
0.900,0.310,1.0582,-0.3767
0.950,0.310,1.1130,-0.3672
1.000,0.310,1.1676,-0.3576
1.050,0.310,1.2220,-0.3477
1.100,0.310,1.2761,-0.3376
1.150,0.310,1.3298,-0.3272
1.200,0.310,1.3830,-0.3167
1.250,0.310,1.4358,-0.3058
1.300,0.310,1.4879,-0.2947
1.350,0.310,1.5393,-0.2833
1.400,0.310,1.5899,-0.2716
1.450,0.310,1.6394,-0.2596
1.500,0.310,1.6879,-0.2473
1.550,0.310,1.7350,-0.2346
1.600,0.310,1.7806,-0.2216
1.650,0.310,1.8246,-0.2082
1.700,0.310,1.8666,-0.1943
1.750,0.310,1.9066,-0.1800
1.800,0.310,1.9444,-0.1653
1.850,0.310,1.9798,-0.1500
1.900,0.310,2.0129,-0.1342
1.950,0.310,2.0435,-0.1178
2.000,0.310,2.0721,-0.1008
2.050,0.310,2.0988,-0.0831
2.100,0.310,2.1243,-0.0646
2.150,0.310,2.1494,-0.0454
2.200,0.310,2.1750,-0.0252
0.000,0.320,0.0665,-0.5055
0.050,0.320,0.1214,-0.4985
0.100,0.320,0.1764,-0.4913
0.150,0.320,0.2315,-0.4841
0.200,0.320,0.2866,-0.4767
0.250,0.320,0.3418,-0.4692
0.300,0.320,0.3970,-0.4615
0.350,0.320,0.4522,-0.4538
0.400,0.320,0.5075,-0.4458
0.450,0.320,0.5628,-0.4377
0.500,0.320,0.6181,-0.4295
0.550,0.320,0.6735,-0.4211
0.600,0.320,0.7288,-0.4126
0.650,0.320,0.7841,-0.4038
0.700,0.320,0.8393,-0.3949
0.750,0.320,0.8945,-0.3859
0.800,0.320,0.9496,-0.3766
0.850,0.320,1.0045,-0.3671
0.900,0.320,1.0592,-0.3574
0.950,0.320,1.1138,-0.3475
1.000,0.320,1.1680,-0.3374
1.050,0.320,1.2219,-0.3271
1.100,0.320,1.2755,-0.3165
1.150,0.320,1.3285,-0.3056
1.200,0.320,1.3809,-0.2945
1.250,0.320,1.4326,-0.2831
1.300,0.320,1.4835,-0.2714
1.350,0.320,1.5335,-0.2594
1.400,0.320,1.5823,-0.2470
1.450,0.320,1.6299,-0.2343
1.500,0.320,1.6760,-0.2213
1.550,0.320,1.7204,-0.2078
1.600,0.320,1.7630,-0.1939
1.650,0.320,1.8036,-0.1796
1.700,0.320,1.8420,-0.1649
1.750,0.320,1.8780,-0.1496
1.800,0.320,1.9116,-0.1337
1.850,0.320,1.9430,-0.1173
1.900,0.320,1.9721,-0.1002
1.950,0.320,1.9995,-0.0825
2.000,0.320,2.0257,-0.0640
2.050,0.320,2.0514,-0.0447
2.100,0.320,2.0774,-0.0245
2.150,0.320,2.1050,-0.0033
2.200,0.320,2.1350,0.0190
0.000,0.330,0.0672,-0.4921
0.050,0.330,0.1222,-0.4849
0.100,0.330,0.1773,-0.4775
0.150,0.330,0.2324,-0.4700
0.200,0.330,0.2876,-0.4624
0.250,0.330,0.3428,-0.4546
0.300,0.330,0.3981,-0.4467
0.350,0.330,0.4534,-0.4387
0.400,0.330,0.5088,-0.4305
0.450,0.330,0.5641,-0.4221
0.500,0.330,0.6195,-0.4135
0.550,0.330,0.6749,-0.4048
0.600,0.330,0.7302,-0.3960
0.650,0.330,0.7854,-0.3869
0.700,0.330,0.8406,-0.3776
0.750,0.330,0.8957,-0.3682
0.800,0.330,0.9506,-0.3585
0.850,0.330,1.0053,-0.3486
0.900,0.330,1.0598,-0.3385
0.950,0.330,1.1139,-0.3282
1.000,0.330,1.1677,-0.3176
1.050,0.330,1.2210,-0.3068
1.100,0.330,1.2738,-0.2957
1.150,0.330,1.3259,-0.2843
1.200,0.330,1.3772,-0.2726
1.250,0.330,1.4277,-0.2606
1.300,0.330,1.4771,-0.2483
1.350,0.330,1.5252,-0.2356
1.400,0.330,1.5719,-0.2226
1.450,0.330,1.6171,-0.2091
1.500,0.330,1.6604,-0.1953
1.550,0.330,1.7018,-0.1810
1.600,0.330,1.7409,-0.1663
1.650,0.330,1.7778,-0.1510
1.700,0.330,1.8124,-0.1352
1.750,0.330,1.8446,-0.1188
1.800,0.330,1.8747,-0.1018
1.850,0.330,1.9029,-0.0842
1.900,0.330,1.9297,-0.0657
1.950,0.330,1.9560,-0.0465
2.000,0.330,1.9824,-0.0264
2.050,0.330,2.0102,-0.0053
2.100,0.330,2.0401,0.0169
2.150,0.330,2.0732,0.0403
2.200,0.330,2.1102,0.0650
0.000,0.340,0.0678,-0.4791
0.050,0.340,0.1229,-0.4717
0.100,0.340,0.1781,-0.4641
0.150,0.340,0.2333,-0.4564
0.200,0.340,0.2886,-0.4485
0.250,0.340,0.3439,-0.4405
0.300,0.340,0.3992,-0.4323
0.350,0.340,0.4546,-0.4240
0.400,0.340,0.5100,-0.4155
0.450,0.340,0.5654,-0.4068
0.500,0.340,0.6208,-0.3980
0.550,0.340,0.6761,-0.3889
0.600,0.340,0.7314,-0.3797
0.650,0.340,0.7866,-0.3703
0.700,0.340,0.8416,-0.3607
