bin_center,count
19.3802,262103
19.7407,0
20.1012,0
20.4617,0
20.8222,0
21.1827,0
21.5432,131053
21.9037,0
22.2642,0
22.6247,0
22.9852,0
23.3457,0
23.7062,65528
24.0667,0
24.4272,0
24.7877,0
25.1482,0
25.5087,0
25.8692,32764
26.2297,0
26.5902,0
26.9507,0
27.3112,0
27.6717,16382
28.0321,0
28.3926,0
28.7531,0
29.1136,8191
29.4741,0
29.8346,0
30.1951,0
30.5556,0
30.9161,4096
31.2766,0
31.6371,0
31.9976,0
32.3581,2047
32.7186,0
33.0791,0
33.4396,1023
33.8001,0
34.1606,0
34.5211,511
34.8816,0
35.2421,0
35.6026,255
35.9631,0
36.3235,127
36.684,0
37.0445,0
37.405,61
37.7655,0
38.126,31
38.4865,16
38.847,0
39.2075,7
39.568,4
39.9285,1
40.289,0
40.6495,2
