D_crit,kappa,crit_cv
57.6431,0.13519,0.76908
58.2363,0.13934,0.74327
58.2363,0.13934,0.74327
60.6896,0.14456,0.75410
60.6896,0.14456,0.75410
60.6896,0.14456,0.75410
58.1195,0.13952,0.76025
60.6979,0.13799,0.76639
60.6979,0.13799,0.76639
60.6979,0.13799,0.76639
60.6979,0.13799,0.76639
60.6979,0.13799,0.76639
58.4033,0.13420,0.77798
58.4033,0.13420,0.77798
58.9899,0.14203,0.82346
58.9899,0.14203,0.82346
58.9899,0.14203,0.82346
55.6244,0.13515,0.81868
55.6244,0.13515,0.81868
55.6244,0.13515,0.81868
55.9006,0.13635,0.83253
55.9006,0.13635,0.83253
54.7809,0.13417,0.82445
48.8151,0.11751,0.82001
48.8151,0.11751,0.82001
48.8151,0.11751,0.82001
48.8151,0.11751,0.82001
48.8151,0.11751,0.82001
54.4838,0.13235,0.96708
59.3129,0.14790,0.93290
62.6510,0.14490,0.87767
62.6510,0.14490,0.87767
61.4840,0.13531,0.85632
61.4840,0.13531,0.85632
60.4842,0.14750,0.87610
60.4842,0.14750,0.87610
65.8790,0.15872,0.91130
62.7667,0.15021,0.85705
62.7667,0.15021,0.85705
62.7667,0.15021,0.85705
62.7667,0.15021,0.85705
62.7667,0.15021,0.85705
69.2798,0.14197,0.79966
69.2798,0.14197,0.79966
69.2798,0.14197,0.79966
69.2798,0.14197,0.79966
69.2798,0.14197,0.79966
69.2798,0.14197,0.79966
69.2798,0.14197,0.79966
69.2798,0.14197,0.79966
65.6393,0.15675,0.83676
66.4978,0.14237,0.79737
66.4978,0.14237,0.79737
66.4978,0.14237,0.79737
66.4978,0.14237,0.79737
66.4978,0.14237,0.79737
66.4978,0.14237,0.79737
63.7345,0.15508,0.73933
63.7345,0.15508,0.73933
63.2547,0.16183,0.78833
63.2547,0.16183,0.78833
60.7959,0.14506,0.83559
60.7959,0.14506,0.83559
60.7959,0.14506,0.83559
60.7959,0.14506,0.83559
60.7959,0.14506,0.83559
60.7959,0.14506,0.83559
60.7959,0.14506,0.83559
60.7959,0.14506,0.83559
60.7959,0.14506,0.83559
61.7156,0.14418,0.86831
61.7156,0.14418,0.86831
61.7156,0.14418,0.86831
61.7156,0.14418,0.86831
64.2069,0.14644,0.83010
66.4977,0.15332,0.76905
67.7834,0.14982,0.77956
67.7834,0.14982,0.77956
65.6292,0.14287,0.80482
65.6292,0.14287,0.80482
65.6292,0.14287,0.80482
63.1974,0.13868,0.70898
60.4862,0.13446,0.81115
59.2746,0.13154,0.78119
59.2746,0.13154,0.78119
59.2746,0.13154,0.78119
59.2746,0.13154,0.78119
59.2746,0.13154,0.78119
59.2746,0.13154,0.78119
59.2746,0.13154,0.78119
