D_crit,kappa,mean_rls,cv_rls
20.0,0.04,25.362,0.4429
20.0,0.045,24.552,0.4318
20.0,0.05,23.806,0.4218
20.0,0.055,23.118,0.4127
20.0,0.06,22.487,0.4044
20.0,0.065,21.896,0.3965
20.0,0.07,21.347,0.3894
20.0,0.075,20.839,0.3828
20.0,0.08,20.352,0.3761
20.0,0.085,19.904,0.3703
20.0,0.09,19.477,0.3647
20.0,0.095,19.069,0.3597
20.0,0.1,18.695,0.3546
20.0,0.105,18.332,0.35
20.0,0.11,17.997,0.3457
20.0,0.115,17.668,0.341
20.0,0.12,17.356,0.3369
20.0,0.125,17.061,0.3331
20.0,0.13,16.773,0.3294
20.0,0.135,16.509,0.326
20.0,0.14,16.248,0.3219
20.0,0.145,16.006,0.3189
20.0,0.15,15.768,0.3154
20.0,0.155,15.536,0.3131
20.0,0.16,15.313,0.3098
20.0,0.165,15.103,0.3071
20.0,0.17,14.903,0.3039
20.0,0.175,14.71,0.3015
20.0,0.18,14.519,0.2983
21.0,0.04,26.357,0.4383
21.0,0.045,25.481,0.4276
21.0,0.05,24.696,0.4177
21.0,0.055,23.972,0.4081
21.0,0.06,23.293,0.3999
21.0,0.065,22.67,0.392
21.0,0.07,22.09,0.3851
21.0,0.075,21.547,0.3785
21.0,0.08,21.037,0.3719
21.0,0.085,20.561,0.3661
21.0,0.09,20.112,0.3605
21.0,0.095,19.69,0.3553
21.0,0.1,19.288,0.3504
21.0,0.105,18.91,0.3455
21.0,0.11,18.544,0.3409
21.0,0.115,18.211,0.3371
21.0,0.12,17.884,0.3329
21.0,0.125,17.571,0.329
21.0,0.13,17.275,0.3256
21.0,0.135,16.988,0.3218
21.0,0.14,16.715,0.3187
21.0,0.145,16.459,0.315
21.0,0.15,16.213,0.312
21.0,0.155,15.97,0.3086
21.0,0.16,15.751,0.3059
21.0,0.165,15.52,0.3031
21.0,0.17,15.302,0.3004
21.0,0.175,15.1,0.2979
21.0,0.18,14.909,0.2956
22.0,0.04,27.33,0.4338
22.0,0.045,26.408,0.423
22.0,0.05,25.572,0.4129
22.0,0.055,24.8,0.404
22.0,0.06,24.082,0.3954
22.0,0.065,23.429,0.3876
22.0,0.07,22.809,0.3808
22.0,0.075,22.239,0.3743
22.0,0.08,21.707,0.3676
22.0,0.085,21.204,0.3619
22.0,0.09,20.73,0.3566
22.0,0.095,20.283,0.3514
22.0,0.1,19.865,0.3465
22.0,0.105,19.461,0.3418
22.0,0.11,19.09,0.3372
22.0,0.115,18.73,0.3329
22.0,0.12,18.391,0.3292
22.0,0.125,18.065,0.3252
22.0,0.13,17.751,0.3214
22.0,0.135,17.46,0.3178
22.0,0.14,17.174,0.3143
22.0,0.145,16.907,0.3115
22.0,0.15,16.638,0.3083
22.0,0.155,16.393,0.3055
22.0,0.16,16.15,0.3026
22.0,0.165,15.925,0.2996
22.0,0.17,15.707,0.2966
22.0,0.175,15.494,0.2939
22.0,0.18,15.275,0.2919
23.0,0.04,28.296,0.4296
23.0,0.045,27.312,0.4186
23.0,0.05,26.421,0.4088
23.0,0.055,25.615,0.3996
23.0,0.06,24.856,0.391
23.0,0.065,24.156,0.3837
23.0,0.07,23.513,0.3766
23.0,0.075,22.92,0.3701
23.0,0.08,22.351,0.3636
23.0,0.085,21.823,0.358
23.0,0.09,21.331,0.3523
23.0,0.095,20.869,0.3475
23.0,0.1,20.424,0.3427
23.0,0.105,20.002,0.3383
23.0,0.11,19.611,0.3335
23.0,0.115,19.238,0.3294
23.0,0.12,18.882,0.3251
23.0,0.125,18.537,0.3219
23.0,0.13,18.217,0.3182
23.0,0.135,17.91,0.3145
23.0,0.14,17.614,0.3112
23.0,0.145,17.333,0.3077
23.0,0.15,17.061,0.3048
23.0,0.155,16.804,0.3013
23.0,0.16,16.552,0.299
23.0,0.165,16.308,0.2963
23.0,0.17,16.079,0.2936
23.0,0.175,15.859,0.2911
23.0,0.18,15.652,0.2885
24.0,0.04,29.228,0.4255
24.0,0.045,28.2,0.4145
24.0,0.05,27.263,0.4044
24.0,0.055,26.406,0.3955
24.0,0.06,25.611,0.3871
24.0,0.065,24.886,0.3794
24.0,0.07,24.203,0.3724
24.0,0.075,23.578,0.3659
24.0,0.08,22.986,0.3597
24.0,0.085,22.436,0.3543
24.0,0.09,21.918,0.3489
24.0,0.095,21.424,0.3433
24.0,0.1,20.966,0.3386
24.0,0.105,20.534,0.3343
24.0,0.11,20.118,0.3297
24.0,0.115,19.733,0.3258
24.0,0.12,19.358,0.3221
24.0,0.125,19.004,0.3179
24.0,0.13,18.674,0.3143
