age,survival,n_dividing
0,1.0,50000
1,1.0,50000
2,1.0,50000
3,1.0,50000
4,0.99998,49999
5,0.9998,49990
6,0.99944,49972
7,0.99852,49926
8,0.99662,49831
9,0.99186,49593
10,0.98534,49267
11,0.97598,48799
12,0.96196,48098
13,0.94386,47193
14,0.92144,46072
15,0.8942,44710
16,0.86178,43089
17,0.82276,41138
18,0.77976,38988
19,0.73562,36781
20,0.68738,34369
21,0.63694,31847
22,0.58618,29309
23,0.53486,26743
24,0.48496,24248
25,0.43682,21841
26,0.3904,19520
27,0.34596,17298
28,0.30388,15194
29,0.266,13300
30,0.22952,11476
31,0.1972,9860
32,0.1689,8445
33,0.14214,7107
34,0.1185,5925
35,0.09904,4952
36,0.08158,4079
37,0.06712,3356
38,0.05404,2702
39,0.04394,2197
40,0.03594,1797
41,0.02846,1423
42,0.02236,1118
43,0.01762,881
44,0.0136,680
45,0.01118,559
46,0.00856,428
47,0.0064,320
48,0.00502,251
49,0.00372,186
50,0.0028,140
51,0.0021,105
52,0.00138,69
53,0.00108,54
54,0.0008,40
55,0.0006,30
56,0.00044,22
57,0.00036,18
58,0.00022,11
59,0.00016,8
60,8.0e-5,4
61,6.0e-5,3
62,6.0e-5,3
63,2.0e-5,1
64,0.0,0
