rls,lambda,virgin_fraction
2,1.61803399,0.618034
3,1.83928676,0.543689
4,1.92756198,0.51879
5,1.96594824,0.50866
6,1.98358284,0.504138
7,1.9919642,0.502017
8,1.99603118,0.500994
9,1.99802947,0.500493
10,1.99901863,0.500245
11,1.9995104,0.500122
12,1.9997555,0.500061
13,1.99987783,0.500031
14,1.99993894,0.500015
15,1.99996948,0.500008
16,1.99998474,0.500004
17,1.99999237,0.500002
18,1.99999619,0.500001
19,1.99999809,0.5
20,1.99999905,0.5
21,1.99999952,0.5
22,1.99999976,0.5
23,1.99999988,0.5
24,1.99999994,0.5
25,1.99999997,0.5
26,1.99999999,0.5
27,1.99999999,0.5
28,2.0,0.5
29,2.0,0.5
30,2.0,0.5
31,2.0,0.5
32,2.0,0.5
33,2.0,0.5
34,2.0,0.5
35,2.0,0.5
36,2.0,0.5
37,2.0,0.5
38,2.0,0.5
39,2.0,0.5
40,2.0,0.5
