regime,Vb
sizer,19.7238
sizer,19.8744
sizer,23.5706
sizer,14.8405
sizer,19.9048
sizer,16.7842
sizer,20.3819
sizer,12.9555
sizer,22.7329
sizer,20.8414
sizer,24.3040
sizer,21.4816
sizer,21.4533
sizer,18.3343
sizer,18.2052
sizer,14.4035
sizer,16.7645
sizer,18.4648
sizer,18.5980
sizer,19.7254
sizer,21.7303
sizer,22.4119
sizer,21.9352
sizer,18.7945
sizer,18.0809
sizer,17.5084
sizer,17.5583
sizer,19.2757
sizer,21.2366
sizer,21.7307
sizer,24.1364
sizer,20.3841
sizer,19.8499
sizer,20.8671
sizer,19.9427
sizer,19.6671
sizer,22.6044
sizer,18.9668
sizer,18.8787
sizer,21.7809
sizer,17.2766
sizer,18.0126
sizer,19.2172
sizer,18.2609
sizer,19.5201
sizer,20.4366
sizer,21.6370
sizer,23.7232
sizer,21.6180
sizer,19.6660
sizer,19.7907
sizer,18.6452
sizer,23.2407
sizer,20.0441
sizer,23.9038
sizer,17.7421
sizer,19.7477
sizer,21.9015
sizer,17.9405
sizer,24.8047
sizer,17.6269
sizer,19.1714
sizer,21.6338
sizer,25.3395
sizer,20.6931
sizer,24.0831
sizer,18.8641
sizer,17.9016
sizer,22.3529
sizer,17.8430
sizer,16.9937
sizer,22.7885
sizer,17.4416
sizer,18.6555
sizer,18.7108
sizer,18.5521
sizer,16.6918
sizer,23.7245
sizer,19.5657
sizer,21.5064
sizer,16.8333
sizer,22.0474
sizer,17.8166
sizer,19.6297
sizer,15.2613
sizer,19.2850
sizer,17.3137
sizer,18.6390
sizer,19.3523
sizer,21.6743
sizer,16.7741
sizer,19.1252
sizer,19.6586
sizer,19.1792
sizer,18.8257
sizer,15.9564
sizer,22.1254
sizer,19.8194
sizer,20.3188
sizer,17.0394
sizer,19.3250
sizer,18.3246
sizer,17.6751
sizer,18.4678
sizer,18.6949
sizer,17.7618
sizer,24.1703
sizer,22.0156
sizer,18.1669
sizer,19.4629
sizer,20.5198
sizer,18.9814
sizer,25.0765
sizer,17.6451
sizer,22.1284
sizer,21.5492
sizer,19.2348
sizer,17.1792
sizer,20.7431
sizer,24.7842
sizer,20.2012
sizer,18.8298
sizer,20.7634
sizer,20.8443
sizer,21.6489
sizer,17.0893
sizer,20.7809
sizer,20.0726
sizer,18.8165
sizer,18.0605
sizer,24.8250
sizer,17.1277
sizer,17.9191
sizer,17.3062
sizer,23.7259
sizer,16.8540
sizer,22.1515
sizer,18.8908
sizer,21.5127
sizer,20.6947
sizer,19.8733
sizer,17.8365
sizer,20.9654
sizer,22.2747
sizer,17.8377
sizer,17.9064
sizer,21.4770
sizer,19.3179
sizer,18.8055
sizer,20.8026
sizer,16.7920
sizer,17.8156
sizer,18.7265
sizer,20.0197
sizer,15.1590
sizer,23.9282
sizer,17.9152
sizer,19.2619
sizer,22.8407
sizer,17.4280
sizer,16.8646
sizer,18.7703
sizer,23.0929
sizer,16.8879
sizer,18.8068
sizer,20.8168
sizer,21.0004
sizer,24.3372
sizer,18.6688
sizer,19.1750
sizer,23.1080
sizer,21.7737
sizer,20.6854
sizer,21.4125
sizer,18.7359
sizer,17.0497
sizer,16.1127
sizer,18.1663
sizer,22.2006
sizer,19.2929
sizer,18.4569
sizer,20.0308
sizer,22.0009
sizer,21.0237
sizer,16.6682
sizer,21.0966
sizer,22.4364
sizer,15.7710
sizer,19.2411
sizer,19.0323
sizer,20.1457
sizer,22.1833
sizer,23.5058
sizer,17.3704
sizer,21.3145
sizer,23.9120
sizer,22.1231
sizer,15.7291
sizer,22.9390
sizer,20.4969
sizer,22.3046
sizer,18.8358
sizer,22.2261
sizer,17.4538
sizer,22.4040
sizer,21.0822
sizer,22.4381
sizer,20.3021
sizer,17.4882
sizer,15.8853
sizer,22.1268
sizer,23.4659
sizer,23.4386
sizer,21.4200
sizer,19.5762
sizer,22.5810
sizer,17.9402
sizer,16.7389
sizer,21.7607
sizer,17.7174
sizer,21.2696
sizer,21.7699
sizer,16.7295
sizer,18.0548
sizer,22.1209
sizer,18.8172
sizer,18.6107
sizer,17.2819
sizer,17.6839
sizer,21.8835
sizer,23.1531
sizer,20.3346
sizer,21.3985
sizer,20.4873
sizer,19.6559
sizer,21.1584
sizer,20.6375
sizer,19.6257
sizer,20.6540
sizer,17.6885
sizer,17.6932
sizer,20.1510
sizer,19.1375
sizer,21.8883
sizer,19.2684
sizer,18.8591
sizer,17.8345
sizer,19.3024
sizer,24.1374
sizer,20.2011
sizer,17.4967
sizer,23.6958
sizer,17.7397
sizer,20.4406
sizer,17.5749
sizer,21.4063
sizer,17.9052
sizer,24.5251
sizer,20.0904
sizer,25.1920
sizer,17.0715
sizer,19.8032
sizer,20.9741
sizer,25.7265
sizer,20.8615
sizer,18.5616
sizer,22.9065
sizer,15.3459
sizer,16.7448
sizer,19.6759
sizer,23.6760
sizer,16.9698
sizer,17.4000
sizer,19.5053
sizer,23.6655
sizer,21.2242
sizer,18.3739
sizer,22.0520
sizer,19.1166
sizer,22.2152
sizer,22.2758
sizer,17.7519
sizer,23.8963
sizer,17.1708
sizer,17.9588
sizer,18.2245
sizer,20.9938
sizer,18.7455
sizer,19.5282
sizer,19.0096
sizer,22.4902
sizer,17.7444
sizer,21.6612
sizer,15.3618
sizer,17.2314
sizer,20.2530
sizer,24.9466
sizer,25.2048
sizer,25.3054
sizer,17.0853
sizer,17.3751
sizer,21.4851
sizer,19.9993
sizer,20.9672
sizer,19.6062
sizer,19.0585
sizer,21.4675
sizer,22.6587
sizer,14.0123
sizer,16.9094
sizer,18.4292
sizer,23.2765
sizer,20.3023
sizer,16.9005
sizer,22.9265
sizer,21.5022
sizer,24.2735
sizer,18.8433
sizer,21.9204
sizer,21.8771
sizer,22.4144
sizer,22.0201
sizer,18.1638
sizer,17.0806
sizer,16.9588
sizer,16.7127
sizer,23.0865
sizer,17.2194
sizer,21.9408
sizer,23.4865
sizer,23.7139
sizer,21.9174
sizer,20.5613
sizer,20.3268
sizer,21.5546
sizer,18.1760
sizer,18.6099
sizer,21.6041
sizer,22.3814
sizer,25.8616
sizer,19.2176
sizer,19.3246
sizer,21.7279
sizer,23.3202
sizer,22.6457
sizer,19.8442
sizer,24.8684
sizer,20.1190
sizer,19.8367
sizer,20.6392
sizer,21.2401
sizer,18.9925
sizer,19.4141
sizer,19.4575
sizer,18.3213
sizer,19.7816
sizer,20.1585
sizer,19.0289
sizer,17.1295
sizer,19.0258
sizer,22.2331
sizer,20.7430
sizer,19.3087
sizer,16.3746
sizer,21.0555
sizer,19.0936
sizer,20.1877
sizer,18.3961
sizer,18.0792
sizer,22.3479
sizer,23.9436
