regime,Vb_n,Vb_next
sizer,20.3782,17.7595
sizer,17.7595,22.6033
sizer,22.6033,20.9821
sizer,20.9821,20.1005
sizer,20.1005,21.9505
sizer,21.9505,20.4892
sizer,20.4892,18.0711
sizer,18.0711,20.1207
sizer,20.1207,19.7754
sizer,19.7754,18.7966
sizer,18.7966,17.7608
sizer,17.7608,19.6609
sizer,19.6609,23.4480
sizer,23.4480,19.5448
sizer,19.5448,21.0069
sizer,21.0069,18.5417
sizer,18.5417,18.8370
sizer,18.8370,19.2320
sizer,19.2320,18.8742
sizer,18.8742,17.9826
sizer,17.9826,18.1003
sizer,18.1003,22.1269
sizer,22.1269,21.4375
sizer,21.4375,21.7159
sizer,21.7159,18.3695
sizer,18.3695,21.3561
sizer,21.3561,18.0345
sizer,18.0345,20.9830
sizer,20.9830,21.0193
sizer,21.0193,21.8200
sizer,21.8200,22.5467
sizer,22.5467,18.1257
sizer,18.1257,20.4038
sizer,20.4038,17.5285
sizer,17.5285,20.9499
sizer,20.9499,22.6832
sizer,22.6832,20.3079
sizer,20.3079,21.9595
sizer,21.9595,16.7542
sizer,16.7542,18.6410
sizer,18.6410,18.8434
sizer,18.8434,20.0593
sizer,20.0593,19.7299
sizer,19.7299,19.6703
sizer,19.6703,17.3974
sizer,17.3974,19.4657
sizer,19.4657,20.8099
sizer,20.8099,18.7874
sizer,18.7874,23.6933
sizer,23.6933,20.5293
sizer,20.5293,15.0710
sizer,15.0710,22.7887
sizer,22.7887,20.0957
sizer,20.0957,17.8667
sizer,17.8667,18.9117
sizer,18.9117,21.6133
sizer,21.6133,19.5565
sizer,19.5565,21.4427
sizer,21.4427,20.6957
sizer,20.6957,18.3380
sizer,18.3380,21.2131
sizer,21.2131,21.0171
sizer,21.0171,22.0450
sizer,22.0450,15.8927
sizer,15.8927,19.2096
sizer,19.2096,20.6332
sizer,20.6332,18.1335
sizer,18.1335,16.2742
sizer,16.2742,19.1360
sizer,19.1360,15.4258
sizer,15.4258,19.7081
sizer,19.7081,20.3679
sizer,20.3679,17.8904
sizer,17.8904,20.5065
sizer,20.5065,22.8644
sizer,22.8644,21.0080
sizer,21.0080,21.5172
sizer,21.5172,18.6374
sizer,18.6374,19.1975
sizer,19.1975,16.8336
sizer,16.8336,16.4205
sizer,16.4205,17.4196
sizer,17.4196,19.0436
sizer,19.0436,19.3596
sizer,19.3596,16.3616
sizer,16.3616,18.8300
sizer,18.8300,22.7813
sizer,22.7813,17.2638
sizer,17.2638,22.2041
sizer,22.2041,21.6258
sizer,21.6258,22.6324
sizer,22.6324,22.9389
sizer,22.9389,22.2426
sizer,22.2426,16.8030
sizer,16.8030,20.8801
sizer,20.8801,24.6277
sizer,24.6277,21.7183
sizer,21.7183,23.0796
sizer,23.0796,25.1257
sizer,25.1257,19.8031
sizer,19.8031,16.6853
sizer,16.6853,19.0648
sizer,19.0648,16.9626
sizer,16.9626,22.5182
sizer,22.5182,18.5518
sizer,18.5518,19.4073
sizer,19.4073,20.2333
sizer,20.2333,19.4620
sizer,19.4620,16.0406
sizer,16.0406,17.6647
sizer,17.6647,17.2811
sizer,17.2811,21.3699
sizer,21.3699,22.7101
sizer,22.7101,24.5760
sizer,24.5760,18.3777
sizer,18.3777,21.5877
sizer,21.5877,17.9542
sizer,17.9542,19.9985
sizer,19.9985,16.7046
sizer,16.7046,21.2002
sizer,21.2002,16.7754
sizer,16.7754,23.0370
sizer,23.0370,18.2950
sizer,18.2950,16.4680
sizer,16.4680,17.6877
sizer,17.6877,19.6472
sizer,19.6472,21.2441
sizer,21.2441,18.6906
sizer,18.6906,19.9602
sizer,19.9602,21.0148
sizer,21.0148,20.7099
sizer,20.7099,17.3867
sizer,17.3867,21.4775
sizer,21.4775,16.9480
sizer,16.9480,21.3462
sizer,21.3462,19.7033
sizer,19.7033,23.0239
sizer,23.0239,20.4284
sizer,20.4284,15.3010
sizer,15.3010,19.6056
sizer,19.6056,20.2653
sizer,20.2653,16.2181
sizer,16.2181,19.4568
sizer,19.4568,16.7370
sizer,16.7370,20.4540
sizer,20.4540,17.2144
sizer,17.2144,18.8767
sizer,18.8767,19.2983
sizer,19.2983,14.9875
sizer,14.9875,18.5683
sizer,18.5683,16.4564
sizer,16.4564,22.8461
sizer,22.8461,17.9828
sizer,17.9828,19.2811
sizer,19.2811,19.2077
sizer,19.2077,16.9421
sizer,16.9421,21.0192
sizer,21.0192,22.3391
sizer,22.3391,17.9894
sizer,17.9894,17.5159
sizer,17.5159,16.7493
sizer,16.7493,22.5784
sizer,22.5784,21.1037
sizer,21.1037,18.6811
sizer,18.6811,19.9806
sizer,19.9806,23.2451
sizer,23.2451,18.4069
sizer,18.4069,18.8308
sizer,18.8308,15.9026
sizer,15.9026,17.3929
sizer,17.3929,18.9868
sizer,18.9868,23.2589
sizer,23.2589,21.1586
sizer,21.1586,22.6828
sizer,22.6828,18.4817
sizer,18.4817,18.8591
sizer,18.8591,17.0674
sizer,17.0674,16.6570
sizer,16.6570,22.0798
sizer,22.0798,20.1247
sizer,20.1247,20.4274
sizer,20.4274,17.8686
sizer,17.8686,23.5016
sizer,23.5016,19.7449
sizer,19.7449,17.7574
sizer,17.7574,18.7090
sizer,18.7090,24.4297
sizer,24.4297,23.8043
sizer,23.8043,18.3425
sizer,18.3425,21.3926
sizer,21.3926,18.7562
sizer,18.7562,20.0917
sizer,20.0917,16.1314
sizer,16.1314,24.1114
sizer,24.1114,20.1710
sizer,20.1710,18.4823
sizer,18.4823,16.6240
sizer,16.6240,23.6503
sizer,23.6503,22.4548
sizer,22.4548,17.6261
sizer,17.6261,21.0587
sizer,21.0587,19.5383
sizer,19.5383,19.4406
sizer,19.4406,19.1123
sizer,19.1123,20.9539
sizer,20.9539,16.5957
sizer,16.5957,18.0567
sizer,18.0567,22.1198
sizer,22.1198,19.7174
sizer,19.7174,23.9343
sizer,23.9343,16.7926
sizer,16.7926,20.4270
sizer,20.4270,21.3123
sizer,21.3123,20.7883
sizer,20.7883,16.8326
sizer,16.8326,18.8019
sizer,18.8019,20.5677
sizer,20.5677,21.7473
sizer,21.7473,24.1937
sizer,24.1937,21.0187
sizer,21.0187,21.4997
sizer,21.4997,21.5350
sizer,21.5350,21.4758
sizer,21.4758,19.2511
sizer,19.2511,14.8155
sizer,14.8155,22.3693
sizer,22.3693,21.8392
sizer,21.8392,18.2970
sizer,18.2970,20.2069
sizer,20.2069,20.4611
sizer,20.4611,21.6964
sizer,21.6964,21.1903
sizer,21.1903,23.9380
sizer,23.9380,20.1196
sizer,20.1196,24.2893
sizer,24.2893,22.6677
sizer,22.6677,17.6081
sizer,17.6081,18.1992
sizer,18.1992,19.9252
sizer,19.9252,20.6783
sizer,20.6783,21.9041
sizer,21.9041,19.0319
sizer,19.0319,23.5179
sizer,23.5179,16.1521
sizer,16.1521,17.1298
sizer,17.1298,16.1211
sizer,16.1211,19.8669
sizer,19.8669,21.7221
sizer,21.7221,18.2389
