regime,gen,meanVb
sizer,1,40.0000
sizer,2,20.9581
sizer,3,19.8563
sizer,4,20.0604
sizer,5,19.8869
sizer,6,19.8168
sizer,7,20.0452
sizer,8,20.1631
sizer,9,20.1682
sizer,10,19.8458
sizer,11,19.7797
sizer,12,20.1212
sizer,13,19.8197
sizer,14,19.9603
adder,1,40.0000
adder,2,30.0455
adder,3,24.8292
adder,4,22.4898
adder,5,21.1183
adder,6,20.3701
adder,7,20.2320
adder,8,20.2824
adder,9,20.3083
adder,10,20.0041
adder,11,19.7850
adder,12,20.0112
adder,13,19.8353
adder,14,19.8771
timer,1,40.0000
timer,2,35.0531
timer,3,31.0358
timer,4,28.3775
timer,5,26.1190
timer,6,24.3595
timer,7,23.3182
timer,8,22.6707
timer,9,22.1872
timer,10,21.4770
timer,11,20.8706
timer,12,20.7757
timer,13,20.4086
timer,14,20.2700
