mode,alpha,age,f,r,amp_measured,amp_pred,homeostatic
sizer,0.0,0,0.3200,0.0000,1.0061,1.0000,1
sizer,0.0,2,0.3526,0.0000,1.0061,1.0000,1
sizer,0.0,4,0.3793,0.0000,1.0061,1.0000,1
sizer,0.0,6,0.4012,0.0000,1.0061,1.0000,1
sizer,0.0,8,0.4191,0.0000,1.0061,1.0000,1
sizer,0.0,10,0.4338,0.0000,1.0061,1.0000,1
sizer,0.0,12,0.4458,0.0000,1.0061,1.0000,1
sizer,0.0,14,0.4556,0.0000,1.0061,1.0000,1
sizer,0.0,16,0.4637,0.0000,1.0061,1.0000,1
sizer,0.0,18,0.4702,0.0000,1.0061,1.0000,1
sizer,0.0,20,0.4756,0.0000,1.0061,1.0000,1
sizer,0.0,22,0.4801,0.0000,1.0061,1.0000,1
sizer,0.0,24,0.4837,0.0000,1.0061,1.0000,1
sizer,0.0,26,0.4866,0.0000,1.0061,1.0000,1
sizer,0.0,28,0.4891,0.0000,1.0061,1.0000,1
sizer,0.0,30,0.4910,0.0000,1.0061,1.0000,1
sizer,0.0,32,0.4927,0.0000,1.0061,1.0000,1
sizer,0.0,34,0.4940,0.0000,1.0061,1.0000,1
sizer,0.0,36,0.4951,0.0000,1.0061,1.0000,1
sizer,0.0,38,0.4960,0.0000,1.0061,1.0000,1
sizer,0.0,40,0.4967,0.0000,1.0061,1.0000,1
sizer,0.0,42,0.4973,0.0000,1.0061,1.0000,1
sizer,0.0,44,0.4978,0.0000,1.0061,1.0000,1
sizer,0.0,46,0.4982,0.0000,1.0061,1.0000,1
sizer,0.0,48,0.4985,0.0000,1.0061,1.0000,1
sizer,0.0,50,0.4988,0.0000,1.0061,1.0000,1
sizer,0.0,52,0.4990,0.0000,1.0061,1.0000,1
sizer,0.0,54,0.4992,0.0000,1.0061,1.0000,1
sizer,0.0,56,0.4993,0.0000,1.0061,1.0000,1
sizer,0.0,58,0.4995,0.0000,1.0061,1.0000,1
sizer,0.0,60,0.4996,0.0000,1.0061,1.0000,1
adder,1.0,0,0.3200,0.3200,1.0570,1.0555,1
adder,1.0,2,0.3526,0.3526,1.0693,1.0686,1
adder,1.0,4,0.3793,0.3793,1.0808,1.0808,1
adder,1.0,6,0.4012,0.4012,1.0911,1.0917,1
adder,1.0,8,0.4191,0.4191,1.1003,1.1014,1
