f,alpha,r,cv_measured,cv_pred
0.320,0.000,0.0000,0.060333,0.060000
0.320,0.100,0.0320,0.060353,0.060031
0.320,0.200,0.0640,0.060433,0.060123
0.320,0.300,0.0960,0.060574,0.060278
0.320,0.400,0.1280,0.060776,0.060498
0.320,0.500,0.1600,0.061042,0.060783
0.320,0.600,0.1920,0.061373,0.061137
0.320,0.700,0.2240,0.061773,0.061564
0.320,0.800,0.2560,0.062246,0.062068
0.320,0.900,0.2880,0.062798,0.062655
0.320,1.000,0.3200,0.063434,0.063330
0.320,1.100,0.3520,0.064163,0.064103
0.320,1.200,0.3840,0.064994,0.064982
0.320,1.300,0.4160,0.065941,0.065980
0.320,1.400,0.4480,0.067016,0.067112
0.320,1.500,0.4800,0.068240,0.068394
0.320,1.600,0.5120,0.069634,0.069850
0.320,1.700,0.5440,0.071228,0.071506
0.320,1.800,0.5760,0.073059,0.073399
0.320,1.900,0.6080,0.075175,0.075573
0.400,0.000,0.0000,0.060333,0.060000
0.400,0.100,0.0400,0.060367,0.060048
0.400,0.200,0.0800,0.060496,0.060193
0.400,0.300,0.1200,0.060720,0.060437
0.400,0.400,0.1600,0.061042,0.060783
0.400,0.500,0.2000,0.061466,0.061237
0.400,0.600,0.2400,0.062000,0.061806
0.400,0.700,0.2800,0.062652,0.062500
0.400,0.800,0.3200,0.063434,0.063330
0.400,0.900,0.3600,0.064361,0.064312
0.400,1.000,0.4000,0.065452,0.065465
0.400,1.100,0.4400,0.066734,0.066815
0.400,1.200,0.4800,0.068240,0.068394
0.400,1.300,0.5200,0.070013,0.070244
0.400,1.400,0.5600,0.072112,0.072421
0.400,1.500,0.6000,0.074616,0.075000
0.400,1.600,0.6400,0.077638,0.078087
0.400,1.700,0.6800,0.081338,0.081832
0.400,1.800,0.7200,0.085957,0.086459
0.400,1.900,0.7600,0.091871,0.092319
0.500,0.000,0.0000,0.060333,0.060000
0.500,0.100,0.0500,0.060391,0.060075
0.500,0.200,0.1000,0.060596,0.060302
0.500,0.300,0.1500,0.060952,0.060687
0.500,0.400,0.2000,0.061466,0.061237
0.500,0.500,0.2500,0.062152,0.061968
0.500,0.600,0.3000,0.063026,0.062897
0.500,0.700,0.3500,0.064115,0.064051
0.500,0.800,0.4000,0.065452,0.065465
0.500,0.900,0.4500,0.067088,0.067187
0.500,1.000,0.5000,0.069090,0.069282
0.500,1.100,0.5500,0.071552,0.071842
0.500,1.200,0.6000,0.074616,0.075000
0.500,1.300,0.6500,0.078492,0.078954
0.500,1.400,0.7000,0.083513,0.084017
0.500,1.500,0.7500,0.090242,0.090711
0.500,1.600,0.8000,0.099706,0.100000
0.500,1.700,0.8500,0.114024,0.113899
0.500,1.800,0.9000,0.138655,0.137649
0.500,1.900,0.9500,0.195786,0.192154
