alpha,f,r,lag,rho_measured,rho_pred
0.000,0.500,0.0000,1,0.000801,0.000000
0.000,0.500,0.0000,2,0.005228,0.000000
0.000,0.500,0.0000,3,0.003331,0.000000
0.000,0.500,0.0000,4,-0.000341,0.000000
0.000,0.500,0.0000,5,-0.002180,0.000000
0.000,0.500,0.0000,6,-0.001522,0.000000
0.500,0.500,0.2500,1,0.252006,0.250000
0.500,0.500,0.2500,2,0.068541,0.062500
0.500,0.500,0.2500,3,0.019965,0.015625
0.500,0.500,0.2500,4,0.003961,0.003906
0.500,0.500,0.2500,5,-0.001657,0.000977
0.500,0.500,0.2500,6,-0.002792,0.000244
1.000,0.500,0.5000,1,0.502696,0.500000
1.000,0.500,0.5000,2,0.255844,0.250000
1.000,0.500,0.5000,3,0.129383,0.125000
1.000,0.500,0.5000,4,0.062786,0.062500
1.000,0.500,0.5000,5,0.028281,0.031250
1.000,0.500,0.5000,6,0.011207,0.015625
1.500,0.500,0.7500,1,0.751762,0.750000
1.500,0.500,0.7500,2,0.565661,0.562500
1.500,0.500,0.7500,3,0.423857,0.421875
1.500,0.500,0.7500,4,0.315514,0.316406
1.500,0.500,0.7500,5,0.233868,0.237305
1.500,0.500,0.7500,6,0.172957,0.177979
1.600,0.500,0.8000,1,0.801348,0.800000
1.600,0.500,0.8000,2,0.642291,0.640000
1.600,0.500,0.8000,3,0.513176,0.512000
1.600,0.500,0.8000,4,0.408270,0.409600
1.600,0.500,0.8000,5,0.324133,0.327680
1.600,0.500,0.8000,6,0.257157,0.262144
