mode,alpha,f,beta,r,cv_measured,rho1,cv_recovered,cv_true
sizer,0.00,0.40,20.0,0.0000,0.059901,0.007327,0.059899,0.060000
sizer,0.00,0.50,20.0,0.0000,0.059901,0.007327,0.059899,0.060000
sizer,0.00,0.40,60.0,0.0000,0.059901,0.007327,0.059899,0.060000
sizer,0.00,0.50,60.0,0.0000,0.059901,0.007327,0.059899,0.060000
adder,1.00,0.40,20.0,0.4000,0.065622,0.407595,0.059924,0.060000
adder,1.00,0.50,20.0,0.5000,0.069553,0.507293,0.059939,0.060000
adder,1.00,0.40,60.0,0.4000,0.065622,0.407595,0.059924,0.060000
adder,1.00,0.50,60.0,0.5000,0.069553,0.507293,0.059939,0.060000
timer,1.60,0.40,20.0,0.6400,0.078617,0.646583,0.059973,0.060000
timer,1.60,0.50,20.0,0.8000,0.101251,0.804986,0.060072,0.060000
timer,1.60,0.40,60.0,0.6400,0.078617,0.646583,0.059973,0.060000
timer,1.60,0.50,60.0,0.8000,0.101251,0.804986,0.060072,0.060000
