mode,alpha,r,memory_gen,gen,vb_measured,vb_geom,vstar1,vstar2
sizer,0.00,0.0000,0.0000,0,10.006482,10.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,1,20.001734,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,2,19.992680,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,3,19.999770,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,4,19.969102,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,5,19.984852,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,6,19.988076,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,7,20.002470,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,8,19.993634,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,9,20.012466,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,10,20.009317,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,11,19.993129,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,12,19.982949,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,13,20.021000,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,14,20.004313,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,15,19.998279,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,16,19.996860,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,17,19.991178,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,18,20.000174,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,19,19.985745,20.000000,10.0000,20.0000
sizer,0.00,0.0000,0.0000,20,19.999412,20.000000,10.0000,20.0000
adder,1.00,0.5000,1.4427,0,20.024168,20.000000,20.0000,40.0000
adder,1.00,0.5000,1.4427,1,30.014496,30.000000,20.0000,40.0000
adder,1.00,0.5000,1.4427,2,34.991995,35.000000,20.0000,40.0000
adder,1.00,0.5000,1.4427,3,37.495701,37.500000,20.0000,40.0000
adder,1.00,0.5000,1.4427,4,38.687816,38.750000,20.0000,40.0000
adder,1.00,0.5000,1.4427,5,39.313180,39.375000,20.0000,40.0000
adder,1.00,0.5000,1.4427,6,39.632098,39.687500,20.0000,40.0000
adder,1.00,0.5000,1.4427,7,39.821440,39.843750,20.0000,40.0000
adder,1.00,0.5000,1.4427,8,39.896975,39.921875,20.0000,40.0000
adder,1.00,0.5000,1.4427,9,39.973281,39.960938,20.0000,40.0000
adder,1.00,0.5000,1.4427,10,40.005289,39.980469,20.0000,40.0000
adder,1.00,0.5000,1.4427,11,39.988445,39.990234,20.0000,40.0000
adder,1.00,0.5000,1.4427,12,39.962475,39.995117,20.0000,40.0000
adder,1.00,0.5000,1.4427,13,40.025982,39.997559,20.0000,40.0000
adder,1.00,0.5000,1.4427,14,40.022580,39.998779,20.0000,40.0000
adder,1.00,0.5000,1.4427,15,40.006853,39.999390,20.0000,40.0000
adder,1.00,0.5000,1.4427,16,39.997163,39.999695,20.0000,40.0000
adder,1.00,0.5000,1.4427,17,39.982528,39.999847,20.0000,40.0000
adder,1.00,0.5000,1.4427,18,39.992892,39.999924,20.0000,40.0000
adder,1.00,0.5000,1.4427,19,39.965900,39.999962,20.0000,40.0000
adder,1.00,0.5000,1.4427,20,39.982554,39.999981,20.0000,40.0000
timer,1.60,0.8000,4.4814,0,50.087881,50.000000,50.0000,100.0000
timer,1.60,0.8000,4.4814,1,60.076309,60.000000,50.0000,100.0000
timer,1.60,0.8000,4.4814,2,68.028208,68.000000,50.0000,100.0000
timer,1.60,0.8000,4.4814,3,74.422726,74.400000,50.0000,100.0000
timer,1.60,0.8000,4.4814,4,79.412900,79.520000,50.0000,100.0000
timer,1.60,0.8000,4.4814,5,83.466188,83.616000,50.0000,100.0000
timer,1.60,0.8000,4.4814,6,86.718728,86.892800,50.0000,100.0000
timer,1.60,0.8000,4.4814,7,89.383771,89.514240,50.0000,100.0000
timer,1.60,0.8000,4.4814,8,91.474917,91.611392,50.0000,100.0000
timer,1.60,0.8000,4.4814,9,93.235299,93.289114,50.0000,100.0000
timer,1.60,0.8000,4.4814,10,94.631495,94.631291,50.0000,100.0000
timer,1.60,0.8000,4.4814,11,95.667697,95.705033,50.0000,100.0000
timer,1.60,0.8000,4.4814,12,96.458364,96.564026,50.0000,100.0000
timer,1.60,0.8000,4.4814,13,97.280550,97.251221,50.0000,100.0000
timer,1.60,0.8000,4.4814,14,97.848338,97.800977,50.0000,100.0000
timer,1.60,0.8000,4.4814,15,98.262594,98.240781,50.0000,100.0000
timer,1.60,0.8000,4.4814,16,98.587592,98.592625,50.0000,100.0000
timer,1.60,0.8000,4.4814,17,98.836672,98.874100,50.0000,100.0000
timer,1.60,0.8000,4.4814,18,99.079729,99.099280,50.0000,100.0000
timer,1.60,0.8000,4.4814,19,99.187610,99.279424,50.0000,100.0000
timer,1.60,0.8000,4.4814,20,99.353646,99.423539,50.0000,100.0000
