f,alpha,mode,A,cv_damage,rls_mean,rls_cv,rls_cv_ratio_vs_sizer
0.32,0.0,sizer,1.00000,0.06000,26.1868,0.015495,1.00000
0.32,1.0,adder,1.05550,0.06333,26.1968,0.016036,1.03492
0.32,2.0,timer,1.30145,0.07809,26.2268,0.018395,1.18718
0.34,0.0,sizer,1.00000,0.06000,26.1868,0.015495,1.00000
0.34,1.0,adder,1.06335,0.06380,26.1981,0.016115,1.04005
0.34,2.0,timer,1.36386,0.08183,26.2315,0.019015,1.22718
0.36,0.0,sizer,1.00000,0.06000,26.1868,0.015495,1.00000
0.36,1.0,adder,1.07187,0.06431,26.1993,0.016192,1.04500
0.36,2.0,timer,1.44098,0.08646,26.2351,0.019803,1.27803
0.38,0.0,sizer,1.00000,0.06000,26.1868,0.015495,1.00000
0.38,1.0,adder,1.08110,0.06487,26.2010,0.016280,1.05065
0.38,2.0,timer,1.53864,0.09232,26.2385,0.020755,1.33947
0.40,0.0,sizer,1.00000,0.06000,26.1868,0.015495,1.00000
0.40,1.0,adder,1.09109,0.06547,26.2025,0.016380,1.05714
0.40,2.0,timer,1.66667,0.10000,26.2416,0.022034,1.42203
0.42,0.0,sizer,1.00000,0.06000,26.1868,0.015495,1.00000
0.42,1.0,adder,1.10190,0.06611,26.2043,0.016480,1.06361
0.42,2.0,timer,1.84302,0.11058,26.2434,0.023886,1.54155
0.44,0.0,sizer,1.00000,0.06000,26.1868,0.015495,1.00000
0.44,1.0,adder,1.11359,0.06682,26.2056,0.016597,1.07114
0.44,2.0,timer,2.10538,0.12632,26.2478,0.026597,1.71648
0.46,0.0,sizer,1.00000,0.06000,26.1868,0.015495,1.00000
0.46,1.0,adder,1.12623,0.06757,26.2075,0.016715,1.07872
0.46,2.0,timer,2.55155,0.15309,26.2523,0.031288,2.01923
0.48,0.0,sizer,1.00000,0.06000,26.1868,0.015495,1.00000
0.48,1.0,adder,1.13990,0.06839,26.2092,0.016856,1.08786
0.48,2.0,timer,3.57143,0.21429,26.2705,0.042595,2.74902
