cell,t,V,whi5_conc
daughter,0.0,20.0,3.0
daughter,0.1,20.053,2.9921
daughter,0.2,20.105,2.9843
daughter,0.3,20.158,2.9766
daughter,0.4,20.21,2.9688
daughter,0.5,20.263,2.9611
daughter,0.6,20.315,2.9535
daughter,0.7,20.368,2.9459
daughter,0.8,20.42,2.9383
daughter,0.9,20.473,2.9307
daughter,1.0,20.525,2.9232
daughter,1.1,20.578,2.9158
daughter,1.2,20.63,2.9083
daughter,1.3,20.683,2.901
daughter,1.4,20.735,2.8936
daughter,1.5,20.788,2.8863
daughter,1.6,20.84,2.879
daughter,1.7,20.893,2.8718
daughter,1.8,20.945,2.8646
daughter,1.9,20.998,2.8574
daughter,2.0,21.051,2.8503
daughter,2.1,21.103,2.8432
daughter,2.2,21.156,2.8361
daughter,2.3,21.208,2.8291
daughter,2.4,21.261,2.8221
daughter,2.5,21.313,2.8152
daughter,2.6,21.366,2.8082
daughter,2.7,21.418,2.8014
daughter,2.8,21.471,2.7945
daughter,2.9,21.523,2.7877
daughter,3.0,21.576,2.7809
daughter,3.1,21.628,2.7742
daughter,3.2,21.681,2.7674
daughter,3.3,21.733,2.7608
daughter,3.4,21.786,2.7541
daughter,3.5,21.838,2.7475
daughter,3.6,21.891,2.7409
daughter,3.7,21.943,2.7343
daughter,3.8,21.996,2.7278
daughter,3.9,22.048,2.7213
daughter,4.0,22.101,2.7149
daughter,4.1,22.153,2.7084
daughter,4.2,22.205,2.702
daughter,4.3,22.258,2.6957
daughter,4.4,22.31,2.6893
daughter,4.5,22.363,2.683
daughter,4.6,22.415,2.6768
daughter,4.7,22.468,2.6705
daughter,4.8,22.52,2.6643
daughter,4.9,22.572,2.6581
daughter,5.0,22.625,2.652
daughter,5.1,22.677,2.6458
daughter,5.2,22.73,2.6397
daughter,5.3,22.782,2.6337
daughter,5.4,22.834,2.6276
daughter,5.5,22.887,2.6216
daughter,5.6,22.939,2.6156
daughter,5.7,22.991,2.6097
daughter,5.8,23.044,2.6038
daughter,5.9,23.096,2.5979
daughter,6.0,23.148,2.592
daughter,6.1,23.201,2.5861
daughter,6.2,23.253,2.5803
daughter,6.3,23.305,2.5745
daughter,6.4,23.357,2.5688
daughter,6.5,23.41,2.563
daughter,6.6,23.462,2.5573
daughter,6.7,23.514,2.5516
daughter,6.8,23.566,2.546
daughter,6.9,23.619,2.5404
daughter,7.0,23.671,2.5348
daughter,7.1,23.723,2.5292
daughter,7.2,23.775,2.5236
daughter,7.3,23.827,2.5181
daughter,7.4,23.88,2.5126
daughter,7.5,23.932,2.5071
daughter,7.6,23.984,2.5017
daughter,7.7,24.036,2.4963
daughter,7.8,24.088,2.4909
daughter,7.9,24.14,2.4855
daughter,8.0,24.192,2.4801
daughter,8.1,24.244,2.4748
daughter,8.2,24.296,2.4695
daughter,8.3,24.348,2.4642
daughter,8.4,24.4,2.459
daughter,8.5,24.452,2.4537
daughter,8.6,24.504,2.4485
daughter,8.7,24.556,2.4433
daughter,8.8,24.608,2.4382
daughter,8.9,24.66,2.433
daughter,9.0,24.712,2.4279
daughter,9.1,24.764,2.4228
daughter,9.2,24.816,2.4178
daughter,9.3,24.868,2.4127
daughter,9.4,24.92,2.4077
