whi5_amount,W,Vstar_fL,Vstar_norm
0.0000,0.0000,0.00000,0.000000
0.0500,0.9000,2.00232,0.049936
0.1000,1.8000,4.00528,0.099889
0.1500,2.7000,6.00869,0.149853
0.2000,3.6000,8.01183,0.199810
0.2500,4.5000,10.02113,0.249920
0.3000,5.4000,12.01931,0.299753
0.3500,6.3000,14.01826,0.349606
0.4000,7.2000,16.02623,0.399683
0.4500,8.1000,18.03129,0.449688
0.5000,9.0000,20.04547,0.499920
0.5500,9.9000,22.01907,0.549141
0.6000,10.8000,24.04246,0.599602
0.6500,11.7000,26.04280,0.649490
0.7000,12.6000,28.04099,0.699323
0.7500,13.5000,30.07209,0.749977
0.8000,14.4000,32.05758,0.799494
0.8500,15.3000,34.03787,0.848881
0.9000,16.2000,36.06835,0.899520
0.9500,17.1000,38.06754,0.949378
1.0000,18.0000,40.09734,1.000000
1.0500,18.9000,42.06693,1.049120
1.1000,19.8000,44.04519,1.098457
1.1500,20.7000,46.11647,1.150113
1.2000,21.6000,48.09259,1.199396
1.2500,22.5000,50.05329,1.248295
1.3000,23.4000,52.09392,1.299187
1.3500,24.3000,54.10953,1.349454
1.4000,25.2000,56.09094,1.398870
1.4500,26.1000,58.14491,1.450094
1.5000,27.0000,60.15379,1.500194
1.5500,27.9000,62.10786,1.548927
1.6000,28.8000,64.12540,1.599243
1.6500,29.7000,66.07633,1.647898
1.7000,30.6000,68.08661,1.698033
1.7500,31.5000,70.15806,1.749694
1.8000,32.4000,72.14823,1.799327
1.8500,33.3000,74.04676,1.846675
1.9000,34.2000,76.14724,1.899060
1.9500,35.1000,78.15100,1.949032
2.0000,36.0000,80.04739,1.996327
2.0500,36.9000,82.15378,2.048859
2.1000,37.8000,84.14731,2.098576
2.1500,38.7000,86.18921,2.149499
2.2000,39.6000,88.10444,2.197264
2.2500,40.5000,90.06224,2.246090
2.3000,41.4000,92.06354,2.296001
2.3500,42.3000,94.10932,2.347022
2.4000,43.2000,96.20055,2.399176
2.4500,44.1000,98.14197,2.447593
2.5000,45.0000,100.12257,2.496988
2.5500,45.9000,102.14314,2.547380
2.6000,46.8000,104.20449,2.598788
