x,c,branch
0.000000,53.348382,off
0.000000,52.553242,off
0.000000,51.769954,off
0.000000,50.998340,off
0.000000,50.238226,off
0.000000,49.489442,off
0.000000,48.751818,off
0.000000,48.025189,off
0.000000,47.309389,off
0.000000,46.604258,off
0.000000,45.909637,off
0.000000,45.225370,off
0.000000,44.551300,off
0.000000,43.887278,off
0.000000,43.233153,off
0.000000,42.588777,off
0.000000,41.954005,off
0.000000,41.328695,off
0.000000,40.712704,off
0.000000,40.105895,off
0.000000,39.508130,off
0.000000,38.919274,off
0.000000,38.339195,off
0.000000,37.767762,off
0.000000,37.204846,off
0.000000,36.650320,off
0.000000,36.104060,off
0.000000,35.565941,off
0.000000,35.035842,off
0.000000,34.513644,off
0.000000,33.999230,off
0.000000,33.492483,off
0.000000,32.993288,off
0.000000,32.501534,off
0.000000,32.017110,off
0.000000,31.539905,off
0.000000,31.069813,off
0.000000,30.606728,off
0.000000,30.150545,off
0.000000,29.701161,off
0.000000,29.258475,off
0.000000,28.822387,off
0.000000,28.392799,off
0.000000,27.969614,off
0.000000,27.552736,off
0.000000,27.142072,off
0.000000,26.737528,off
0.000000,26.339014,off
0.000000,25.946440,off
0.000000,25.559717,off
0.000000,25.178758,off
0.000000,24.803477,off
0.000000,24.433789,off
0.000000,24.069611,off
0.000000,23.710862,off
0.000000,23.357459,off
0.000000,23.009324,off
0.000000,22.666378,off
0.000000,22.328543,off
0.000000,21.995743,off
0.000000,21.667904,off
0.000000,21.344951,off
0.000000,21.026812,off
0.000000,20.713414,off
0.000000,20.404687,off
0.000000,20.100562,off
0.000000,19.800970,off
0.000000,19.505843,off
0.000000,19.215115,off
0.000000,18.928720,off
0.000000,18.646594,off
0.000000,18.368672,off
0.000000,18.094893,off
0.000000,17.825195,off
0.000000,17.559516,off
0.000000,17.297798,off
0.000000,17.039980,off
0.000000,16.786004,off
0.000000,16.535814,off
0.000000,16.289354,off
0.000000,16.046566,off
0.000000,15.807397,off
0.000000,15.571793,off
0.000000,15.339701,off
0.000000,15.111068,off
0.000000,14.885842,off
0.000000,14.663974,off
0.000000,14.445412,off
0.000000,14.230108,off
0.000000,14.018013,off
0.000000,13.809079,off
0.000000,13.603259,off
0.000000,13.400507,off
0.000000,13.200777,off
0.000000,13.004024,off
0.000000,12.810203,off
0.000000,12.619271,off
0.000000,12.431185,off
0.000000,12.245902,off
0.000000,12.063381,off
0.000000,11.883580,off
0.000000,11.706459,off
0.000000,11.531978,off
0.000000,11.360098,off
0.000001,11.190779,off
0.000001,11.023984,off
0.000001,10.859675,off
0.000001,10.697815,off
0.000001,10.538368,off
0.000001,10.381297,off
0.000001,10.226567,off
0.000001,10.074143,off
0.000001,9.923991,off
0.000001,9.776078,off
0.000001,9.630368,off
0.000001,9.486831,off
0.000001,9.345432,off
0.000001,9.206142,off
0.000001,9.068927,off
0.000001,8.933758,off
0.000001,8.800603,off
0.000001,8.669432,off
0.000002,8.540217,off
0.000002,8.412928,off
0.000002,8.287536,off
0.000002,8.164013,off
