gen,timer_Vb,sizer_Vb
1,20.0,5.0
2,16.0,20.0
3,12.8,20.0
4,10.240000000000002,20.0
5,8.192000000000002,20.0
6,6.553600000000002,20.0
7,5.242880000000002,20.0
8,4.194304000000002,20.0
9,3.3554432000000016,20.0
10,2.6843545600000014,20.0
11,2.147483648000001,20.0
12,1.717986918400001,20.0
13,1.3743895347200008,20.0
14,1.0995116277760006,20.0
15,0.8796093022208006,20.0
16,0.7036874417766406,20.0
17,0.5629499534213125,20.0
18,0.45035996273705003,20.0
19,0.36028797018964004,20.0
20,0.28823037615171204,20.0
21,0.23058430092136964,20.0
22,0.18446744073709573,20.0
23,0.1475739525896766,20.0
24,0.11805916207174127,20.0
25,0.09444732965739303,20.0
